Apalaí,Apinayé,Apurinã,Bakairi,Guajajara,Guarani,Kadiwéu,Kagwahiva,Kaigáng,Kaiwá,Karajá,Kayabí,kayapó,Macushi,Maxakalí,Mundurukú,Nadëb,Nambikuára,Parecis,Paumarí,Português,Rikbaktsa,Sateré-Mawé,Terena,Tukano,Urubu-Kaapor,Xavánte
pipohtopõ,xàh,sikaenetakiti,âsemyombâzeze,penemiru,roexaꞌã,nimonyated,ojipypa,nĩfé,jekaru,radòny,uwayr,banhõbikwa,tawoꞌpî,tõm,wãwã,mamah,kaixkx,hiyaiyane,anakaramisijahaki,perseve,tsipikbeze,moie,úkoa,filadélfiakãha,unancäta,hâiwar
inysekeremah,ixàhp,matiiti,hugueân,pepureru,omonheangu,yex,ononga,gunhgu,hagwe,riwinyõhyy,weaiter,irax,utarumaꞌtîiyaꞌnî,ãhittupm,diotpeac,tamanah,khãuhxs,nomaxose,ikaani,abraça,tsimozika,uruie,ákope,atikũkã,partishanchicwan,siwas
jerohtopõ,àhp,kenakotakani,âzepajiwâ,nazeru,peke,ibodigitibig,pejogwayvay,kãvé,nhamombaꞌe,robiõhyky,wemiyauw,kadjàr,tîneraꞌmaton,hinn,oekukui,ramanah,hxatt,mahekorene,bikamisai,sumi,tsisisapybyriki,taꞌatuie,xanéheixovi,tohatákã,piman,hâzah
ihxirotopõ,paxàhp,piãkatxi,kionmazeân,nereru,ndeayvu,oec,peypyteripe,tygtá,onhemombaꞌe,riwinyõle,pejeꞌarasigeꞌem,ibiknor,taatapinatoꞌ,kummukg,oceweju,behe,oxt,resebetyase,avijavajahaki,estende,zikzisirezo,toimoie,itokúxea,uâti,alcaśhanchicman,asimirowah
eanahtotopõ,axàhp,nitikini,yain,pezeru,jajejavy,inibeoon,mondoroha,kãtére,tonhemombaꞌe,renarehe,ajuemianuw,bamẽnh,urawîrîꞌnî,kunoxy,adde,tamanahe,yaitt,haikoahetehenere,varavinafiaha,arrebenta,tsinamykaha,toie,okopókoko,sootíkã,mayannïta,wasiwas
inenyokyh,xàhp,aãpisa,kâpyneân,peru,oinupã,jemaatibig,nemimbotarimo,rãnhrã,okanoa,riwotòeny,piar,kõm,tînmenka,ãkummug,ibimãmãmã,tanahe,xitj,ximabosane,gathanionani,tropeça,mokorobaik,imoie,kotixónu,sãháarokãha,gänäśhacunacta,aiwah
ekuhtopõ,kawarti,nanera,ekadon,naperu,ojerure,ejin,jipyheita,rynhra,hemimby,rabiõhyy,pejemaraꞌneꞌem,akry,tepotorî,yĩg,totite,mamahe,nũtt,maxaokowiharetyoane,vakaijokara,soube,ziknakpykyryk,aimoie,kapayásokinovopi,sãâkã,supayćhü,asirowah
auturuh,hkumrẽx,xiratari,tâdâtuaga,heremiru,omboia,adinik,okwera,gỹ,oromoherakwã,rotohodỹỹ,orepytun,irã,mororon,ãxĩnn,jewãwã,ramanahe,yextx,xakaihenahere,vakaatho,cub,mysipyk,emoie,mbahukóvo,weékũkã,llaquiculcäśhayquita,dasiwas
inyrih,pigêt,iamotakito,kintâ,nuzeꞌe,nhandekuai,lowood,avuirama,ẽmẽ,rerovyꞌa,ralòõle,jepoiriwer,mỳnh,tîweꞌsaꞌnama,ũpug,dujowac,rakaha,lhits,ixirikotyase,adibakhia,declara,tsimytsasoikik,eie,ókopova,rêstekã,panincunacta,rosah
tynymenekah,hipêêxà,pinakitiakori,nhekaen,wanemiru,rami,eyal,ukapa,tãpry,penhemombaꞌe,ribereny,opiragayayr,ajajne,awanîꞌpî,hãmhõgnãg,áquil,takaher,nuts,waxitere,vavikhajakosi,larga,tynamyokpitsĩ,iꞌatuie,hixopâ,âtimi,aaronta,tihâzah
aosenepoh,parijew,isanare,inwinkewâ,wemiru,ndojeroviai,anodot,jirehe,kãmũ,mombaꞌe,ritirỹ,pẽpoiriwer,adjumar,tîweiyuꞌmatoꞌ,hãpxopm,adede,tamaher,yuts,enowaiye,vibanani,repreende,mynapyrykyk,waꞌatu,pohúne,reokã,cuyäcä,azar
ãmorepatopõ,anhĩgêt,ikamakiri,kiân,remiru,ovaẽxe,oniliic,governador,kygvé,kaꞌiju,raruny,jerekõẽãj,bajabê,upîikaꞌtîtoꞌpeiyaꞌnî,nuhukg,pararak,tanaher,kaixs,matyotene,arakhaonani,treme,tsikmyspihikbataka,toiwyꞌi,itukóheyea,cretakãha,wićhalayaptï,dapis
amorepapitotopõ,krax,tavii,yeinwânseze,ereru,ojeapo,jinadeegit,imbaragwaha,rárá,anhay,roholakõ,jeporogytawer,bamex,amuꞌtunpanen,ãhĩnn,itaxi,maner,yexs,hinai,anahaha,arrepende,zipoik,ewetu,ihíkaxovi,kɨomí,liptiqui,dasipis
omõtopõ,akra,itakare,kienehonzeze,pezeꞌe,romokyreꞌỹ,jomoken,oirũ,grĩnhgrĩ,xopĩ,riwinyhyy,jarareter,badjàpênh,iwanmînon,õg,jemunomuwã,taher,khaixy,hiraetere,vihijanara,desobedece,zikektsawaraka,areꞌyat,kuxoné,tuúkã,ninayquipä,arowah
ypipohtopõ,akwỳ,piripi,udâzese,ezeru,meꞌẽ,minat,wama,jãgfa,pemombaꞌe,rabedeòtiidỹỹny,remimonofer,ijabê,tîweꞌsaꞌ,yũmmmũg,itayxixe,ramanaher,khaixx,wahalakoa,ogajahaki,nega,tsinazuzuk,ahaꞌawy,kirikópokono,tamukã,pasananpä,tinhimiropis
jehtopõ,wej,ikemaĩtxitakini,âgâsedon,waneru,ojevypa,lolaad,rembirekoha,pigju,erenhemomburuvixa,risỹdỹỹny,tejewirer,anhingêt,ayenupatoꞌpîuyaꞌnî,yĩxonn,jedobatban,takaner,nahxyx,kirasaka,vahojara,traí,piwabyziu,pytꞌat,ngoyê,tãrátimi,licaycuyaptin,rowah
tuotopõ,mẽni,iauĩte,nhytyân,hezeru,omoꞌã,idajolit,nhinhikwa,toyã,enhembopyꞌa,ribròny,pejeꞌakwaaw,jadjwỳr,uyeme,ãxãn,bayb,mamaher,khaixnyh,ixihatyaka,avakavarajomikhamara,reclama,tysipery,weꞌyat,hariríxo,turiakã,limananpä,maipis
opih,atàmnhwỳ,oaãpoko,tianka,zanereru,jogueroayvu,dinapalo,nhiramonha,pasa,terenhemombaꞌe,rexibutuny,afuakar,akanikwỳnh,eetîꞌnokoꞌmatoꞌ,hẽn,epetobuxiki,ramaher,hittx,ximaxiyehare,avakapoarijahaki,compreende,tsimykza,wyꞌi,purudén,yapi,allaycunchic,aropis
tõturuke,uro,pinitiriakori,mâxidâ,zazeru,oke,nowien,azor,nĩnu,mimby,ririradỹỹny,ruag,ajapôx,ayewanmîrîꞌnen,xupepm,iwãtaxipipi,beher,khaixnhy,ximabakala,vavahojara,distribuí,zizukuk,iꞌatmi,yuvorókoa,yeétikã,imanamänayquipä,nhimirowah
ikurãkah,hpãm,amakini,nhajimanâ,zazeꞌe,reaꞌanga,modinawan,ỹhete,prã,oapyka,rexisuny,ekor,kajkep,yawaꞌwî,nũgkutn,awerom,rakaner,yaxt,axatyahanikijitere,biananokhomi,desamarra,tsikziksizo,toꞌyat,embémo,bɨrokã,ayacuśhancunäta,tiwah
tukurãkatopõ,ixtõ,masãpiretakani,kiungu,nuzeru,nhombojexavai,onigot,anhinonga,kykũ,marany,reakõ,tupaaꞌmyw,rĩt,eeperepî,yãykutn,jewaokaka,rabaher,ixtx,exoitere,aiba,cuspi,tahadisahaba,tuꞌyat,kihuhévexopa,miáatikã,wañunäpä,simiropis
ezuezuhtopõ,inhmy,misiritakoni,âtyren,wazeꞌe,nomovaẽi,nigec,pejiju,jũgjũ,oronhemombaꞌe,relyyhyy,wepyeꞌem,amitĩn,yariꞌku,ũxãn,cekay,kaher,kaixtx,niraetere,okananahinara,molha,niharapebaka,motpap,ihúve,pɨámukã,lulaynincunapïta,wanhimirowah
tynapiakah,akumrẽx,okanakakiti,kugu,hereru,omboguai,odiwokod,teudas,péju,onhembotejujagwa,raitxỹteitxỹteny,orojeapyoeꞌem,tujarô,mîîpan,hãpxum,ipotpoc,maber,wahxnx,maerane,aogajahakira,descobri,mynaharakoroko,iwyꞌi,simópi,âkã,wasilläcuna,wasipis
oturupotopõ,wỳj,tomee,kâintâ,neremiru,peura,metiw,hakuhete,vigve,ajaka,riwahinyõhyy,nekokatur,djukaprĩ,teraꞌmapîꞌseꞌnî,ẽgnãg,cesayruruc,rakaher,lotx,tawitere,avakaborora,exclama,naharapewowohikik,tutcu,ókopi,romakãha,ñuñücunäpä,azah
onymenekah,panhĩgêt,iorotiko,kytâwâ,pureru,itui,menaan,melqui,gã,tupã,rawitxiradỹỹ,iapeꞌog,bimràk,uyettapusin,hãmpẽn,eykay,tamanaher,tott,nahá,inajahariharibakhia,sufoca,tsimymysapywyky,eipai,ixokono,nemorãti,masinchiccunaman,dazah
mõkomoh,patre,initiriakori,kienmanâ,napezeru,oxẽ,ajinadeeg,onhimombyry,jãvãnhvã,onhemomburuvixa,rotamany,resagesager,idjàptàr,yapurîtîpon,xexkãn,tadaiboc,tabaher,kaixj,xiwaiyaka,kanahoarihakhama,enrola,nisiupyksik,saity,viyókeova,tãrákã,uycunanpä,tinhimirowah
