stems,words,sufix,freq
kues,kuesẽ,ẽ,11677
xin,xine,e,372408
a,ase,se,136090
aropo,aropoase,ase,56302
jez,jezu,u,57787
je,jezu,zu,15846
j,jezu,ezu,15834
o,otu,tu,9114
kyri,kyrixtu,xtu,6273
kyr,kyrixtu,ixtu,6245
ky,kyrixtu,rixtu,6245
k,kyrixtu,yrixtu,6245
p,py,y,86278
opoeto,opoetory,ry,75767
nekarohp,nekarohpyry,yry,40844
nekaroh,nekarohpyry,pyry,34261
enepotop,enepotopõpyry,õpyry,9325
enepoto,enepotopõpyry,põpyry,9300
enepot,enepotopõpyry,opõpyry,9300
pk,opoko,o,328590
opo,opoko,ko,93773
op,opoko,oko,37107
x,xi,i,7080
ta,tawi,wi,477
t,tawi,awi,383
poreh,porehme,me,111264
t,tyme,yme,17422
pa,paryme,ryme,16325
p,paryme,aryme,2039
xi,xine,ne,48304
x,xine,ine,33719
e,exine,xine,10240
kyn,kynexine,exine,10125
ky,kynexine,nexine,10113
k,kynexine,ynexine,10104
jo,joão,ão,2299
apa,aparão,rão,948
ap,aparão,arão,900
a,aparão,parão,900
enr,enara,a,176977
,papa,pa,30759
r,ropa,opa,29078
ro,roropa,ropa,20767
r,roropa,oropa,20448
oexiry,oexiryke,ke,38681
niot,niotake,ake,1581
i,izake,zake,90
eme,emero,ro,66448
t,tyro,yro,5421
ono,onokyro,kyro,4917
on,onokyro,okyro,4906
eahm,eahmako,ako,1788
ẽ,ẽmy,my,1452
t,tumy,umy,594
otuarõ,otuarõta,ta,2426
ezemera,ezemerauta,uta,335
kuesẽk,kuesẽkõ,õ,73208
otua,otuarõ,rõ,1204
ak,akorõ,orõ,1025
a,akorõ,korõ,707
m,maro,aro,24198
kuesẽ,kuesẽkõ,kõ,45681
kues,kuesẽkõ,ẽkõ,2734
ena,enara,ra,77132
en,enara,ara,35942
jeah,jeahmara,mara,2647
atas,atasamara,amara,95
zu,zuze,ze,2038
mo,moeze,eze,1793
pe,pereze,reze,18
p,pereze,ereze,18
im,imerõ,erõ,26
e,ezerõ,zerõ,20
pa,pape,pe,7291
p,pape,ape,848
ty,tytape,tape,18
amin,aminatape,atape,18
ami,aminatape,natape,18
am,aminatape,inatape,18
mena,menasõ,sõ,24
men,menasõ,asõ,24
o,omõ,mõ,76
hn,hnamõ,amõ,16
sa,saramõ,ramõ,6
s,saramõ,aramõ,6
po,poaze,aze,20
p,poaze,oaze,20
y,yny,ny,891
r,raape,aape,15
ku,kute,te,604
jep,jepete,ete,51
je,jepete,pete,31
ty,tyti,ti,556
kyra,kyrauti,uti,36
tom,tomese,ese,1849
xi,ximão,mão,518
sar,saromão,omão,98
sa,saromão,romão,98
s,saromão,aromão,98
ãp,ãpia,ia,1927
nu,nuria,ria,788
zer,zerỹpyry,ỹpyry,650
zo,zotỹpyry,tỹpyry,206
ip,ipytỹpyry,ytỹpyry,102
j,joão,oão,130
ro,ropoão,poão,6
r,ropoão,opoão,6
ã,ãpia,pia,57
a,aza,za,210
p,papa,apa,1347
tue,tuesapa,sapa,12
j,josapa,osapa,6
j,jorão,orão,10
a,azia,zia,48
a,atão,tão,227
j,jotão,otão,5
topa,topazi,zi,10
top,topazi,azi,10
a,akazi,kazi,10
ãtio,ãtiokia,kia,174
ez,ezekia,ekia,6
e,ezekia,zekia,6
yna,ynanase,nase,3624
yn,ynanase,anase,3307
jo,josia,sia,5
j,josia,osia,5
j,jeu,eu,4792
kamar,kamarieu,ieu,118
sara,saratieu,tieu,24
sar,saratieu,atieu,24
sa,saratieu,ratieu,24
s,saratieu,aratieu,24
jeza,jezapeu,peu,155
jez,jezapeu,apeu,106
zoro,zoropapeu,papeu,27
zor,zoropapeu,opapeu,27
zo,zoropapeu,ropapeu,27
er,eriuti,iuti,12
a,apiuti,piuti,6
ex,exĩ,ĩ,1646
tye,tyekĩ,kĩ,24
j,jakĩ,akĩ,18
er,eriakĩ,iakĩ,18
e,eriakĩ,riakĩ,18
m,moro,oro,27449
a,azoro,zoro,5
r,roke,oke,1239
y,ytoke,toke,148
tyr,tyratoke,atoke,22
e,eriuti,riuti,6
ww,wazawaza,aza,22
er,ereaza,eaza,6
e,ereaza,reaza,6
okyn,okynã,ã,16309
epery,eperytã,tã,105
s,satã,atã,33
j,joze,oze,222
mar,mararia,aria,562
n,nio,io,341
otuarõtanohneko,otuarõtanohnekomo,mo,23273
otuarõtanohnek,otuarõtanohnekomo,omo,18573
otuarõtanohne,otuarõtanohnekomo,komo,9030
kues,kuesẽkomo,ẽkomo,407
kue,kuesẽkomo,sẽkomo,392
ku,kuesẽkomo,esẽkomo,302
mo,morara,rara,8308
m,morara,orara,8076
oexir,oexiryke,yke,22977
oexi,oexiryke,ryke,21072
oex,oexiryke,iryke,13889
oe,oexiryke,xiryke,13825
nezuk,nezukuase,uase,603
nezu,nezukuase,kuase,325
toem,toemũkuase,ũkuase,120
toe,toemũkuase,mũkuase,120
õku,õkuru,ru,19567
õk,õkuru,uru,17369
õ,õkuru,kuru,5235
m,mũkuru,ũkuru,3179
i,imũkuru,mũkuru,1805
aozahpar,aozahparakõ,akõ,130
i,ipakõ,pakõ,55
op,opoe,oe,2699
tymer,tymerose,ose,39548
ma,matose,tose,25179
tõtupo,tõtupohtose,htose,580
toan,toanahtose,ahtose,119
toa,toanahtose,nahtose,119
opoe,opoeto,to,28296
t,toto,oto,22495
2,24me,4me,32
e,ena,na,31459
p,pona,ona,12686
izyr,izyraeu,aeu,636
izy,izyraeu,raeu,534
iz,izyraeu,yraeu,534
i,izyraeu,zyraeu,534
kausetõ,kausetõnia,nia,451
papir,papironia,onia,214
papi,papironia,ronia,44
pap,papironia,ironia,36
pa,papironia,pironia,36
mora,morararo,raro,2072
mor,morararo,araro,2063
mo,morararo,rararo,2056
m,morararo,orararo,2056
py,pyno,no,16844
w,wino,ino,4318
ewin,ewinoino,oino,2809
imyh,imyhtoino,toino,1123
mor,morotoino,otoino,1050
mo,morotoino,rotoino,1050
o,opo,po,51255
riton,ritonõpo,õpo,44044
rito,ritonõpo,nõpo,43947
rit,ritonõpo,onõpo,43735
ri,ritonõpo,tonõpo,43671
r,ritonõpo,itonõpo,43541
nekaro,nekarohpyry,hpyry,19507
k,kahpyry,ahpyry,2844
ikuri,ikurikahpyry,kahpyry,1641
nuri,nuriame,ame,22064
e,enara,nara,13387
tukuri,tukurikase,kase,30347
tymen,tymenekase,ekase,1930
tyme,tymenekase,nekase,1006
tym,tymenekase,enekase,1006
exike,exiketyme,tyme,1031
typ,typytyme,ytyme,153
ty,typytyme,pytyme,93
t,typytyme,ypytyme,56
o,oepe,epe,3452
t,tome,ome,11175
y,yrome,rome,9301
y,ymaro,maro,3489
ox,oximaro,imaro,168
o,oximaro,ximaro,168
p,pyra,yra,40718
omõ,omõpyra,pyra,28428
onymerop,onymeropopyra,opyra,8855
y,ytopyra,topyra,1810
onenetupuhp,onenetupuhpitopyra,itopyra,871
aht,ahtao,ao,37178
ah,ahtao,tao,34923
a,ahtao,htao,34528
aw,awahtao,ahtao,10019
es,esẽme,ẽme,1659
poet,poetoẽme,oẽme,128
poe,poetoẽme,toẽme,128
po,poetoẽme,etoẽme,128
p,poetoẽme,oetoẽme,128
tona,tonahse,hse,22026
tonek,tonekehse,ehse,10981
to,tooehse,oehse,7897
ene,enehpo,hpo,2407
n,nohpo,ohpo,1981
zuze,zuzenu,nu,3038
zuz,zuzenu,enu,2928
zu,zuzenu,zenu,2328
z,zuzenu,uzenu,2328
n,nae,ae,7820
mo,moty,ty,5987
niotak,niotakety,ety,4145
niota,niotakety,kety,2907
ex,exikety,ikety,2007
e,exikety,xikety,1995
en,eneryke,eryke,1504
e,eneryke,neryke,1504
o,oya,ya,18550
k,kyya,yya,4248
in,iniome,iome,21
i,iniome,niome,12
nae,naeroro,roro,19050
yn,ynororo,ororo,11483
y,ynororo,nororo,11235
jeu,jeurao,rao,251
j,jarao,arao,251
opoet,opoetory,ory,14583
yneka,ynekarory,rory,1729
ohx,ohxirory,irory,132
oh,ohxirory,xirory,132
k,kuhse,uhse,4156
ta,tapuhse,puhse,1891
tonet,tonetupuhse,upuhse,1863
tone,tonetupuhse,tupuhse,1863
myakãm,myakãmary,ary,9977
motyẽ,motyẽkary,kary,2108
rum,rumekary,ekary,619
ru,rumekary,mekary,586
r,rumekary,umekary,586
po,pore,re,7594
zak,zakare,are,550
za,zakare,kare,198
t,tokare,okare,192
ro,rokẽ,kẽ,8590
r,rokẽ,okẽ,8506
myakãmar,myakãmaryhtao,yhtao,9573
myakãma,myakãmaryhtao,ryhtao,9573
myakãm,myakãmaryhtao,aryhtao,3983
tõty,tõtyhkase,hkase,2816
typ,typehkase,ehkase,918
taose,taosenehkase,nehkase,24
t,tykase,ykase,22062
ynenyok,ynenyokyhpyry,yhpyry,2910
ynenyo,ynenyokyhpyry,kyhpyry,1979
one,onenety,nety,288
on,onenety,enety,140
o,osenety,senety,140
j,josenety,osenety,88
kasuru,kasuruimo,imo,1953
a,atako,tako,219
otuarõtano,otuarõtanohne,hne,3329
p,pahne,ahne,938
tyre,tyretyke,tyke,1250
tor,torẽtyke,ẽtyke,1120
to,torẽtyke,rẽtyke,1120
t,torẽtyke,orẽtyke,1120
ex,exiko,iko,3002
e,exiko,xiko,1417
oex,oexiry,iry,9714
oe,oexiry,xiry,3249
ap,apoiko,oiko,12
a,apoiko,poiko,12
amur,amurũko,ũko,1198
amu,amurũko,rũko,1172
am,amurũko,urũko,1172
e,enurũko,nurũko,105
m,mana,ana,14833
t,tuame,uame,64
oru,orutuame,tuame,64
or,orutuame,utuame,64
o,orutuame,rutuame,64
itamur,itamurume,ume,3919
ezue,ezuezume,zume,50
ezu,ezuezume,ezume,50
eperyt,eperytãko,ãko,10536
eta,etapãko,pãko,1447
o,ohpãko,hpãko,80
oes,oesehpãko,ehpãko,25
oe,oesehpãko,sehpãko,25
opoe,opoetory,tory,10026
opo,opoetory,etory,8734
op,opoetory,oetory,8734
o,opoetory,poetory,5311
koro,korokãko,kãko,2913
ekur,ekurãkãko,ãkãko,523
eku,ekurãkãko,rãkãko,413
ek,ekurãkãko,urãkãko,413
tyyr,tyyrypyry,ypyry,1800
kor,korokãko,okãko,450
ko,korokãko,rokãko,282
k,korokãko,orokãko,282
em,emero,ero,7670
e,emero,mero,5143
omihpyr,omihpyryae,yae,2565
omihpy,omihpyryae,ryae,2542
omihp,omihpyryae,yryae,2064
omih,omihpyryae,pyryae,1848
omi,omihpyryae,hpyryae,952
n,nono,ono,2839
orihmapo,orihmapotono,tono,172
ur,urutono,utono,56
u,urutono,rutono,56
e,esety,sety,931
jut,juteume,eume,236
eman,emanueume,ueume,9
ema,emanueume,nueume,9
em,emanueume,anueume,9
ex,exĩko,ĩko,6122
e,exĩko,xĩko,4595
sam,samueu,ueu,37
pa,panueu,nueu,13
p,panueu,anueu,13
e,emanueu,manueu,7
t,tymaro,ymaro,480
epe,epereu,reu,81
ep,epereu,ereu,59
e,epereu,pereu,54
om,omiryae,iryae,445
o,omiryae,miryae,445
kue,kues,s,734
ku,kues,es,732
ser,series,ies,732
se,series,ries,732
s,series,eries,732
mora,morarame,rame,10926
mor,morarame,arame,10765
mo,morarame,rarame,10707
m,morarame,orarame,10657
tapi,tapiakase,akase,658
ty,typakase,pakase,63
t,typakase,ypakase,32
orihma,orihmapona,pona,8321
jom,jomipona,ipona,8180
jo,jomipona,mipona,8180
tyr,tyrise,ise,3080
tap,tapoise,oise,914
ta,tapoise,poise,827
t,tapoise,apoise,761
ẽm,ẽmyty,yty,413
y,ypyty,pyty,240
t,typyty,ypyty,120
y,yporo,poro,826
tõtu,tõtururu,ruru,772
tõt,tõtururu,ururu,772
ae,aenururu,nururu,46
a,aenururu,enururu,32
pon,ponãmero,ãmero,400
po,ponãmero,nãmero,400
p,ponãmero,onãmero,400
ka,kause,use,2796
tapu,tapuruse,ruse,2705
tap,tapuruse,uruse,2705
e,enuruse,nuruse,296
t,tonuruse,onuruse,296
toe,toepase,pase,2079
tose,tosehpase,hpase,170
tos,tosehpase,ehpase,144
to,tosehpase,sehpase,144
to,tonese,nese,1631
aexit,aexityã,yã,3985
aexi,aexityã,tyã,3848
aori,aorihtyã,htyã,1742
a,aehtyã,ehtyã,202
e,exi,xi,2458
x,xixi,ixi,435
pore,poreh,h,14568
otuarõtan,otuarõtanoh,oh,13181
eh,ehtoh,toh,10566
k,katoh,atoh,3369
tũ,tũtatoh,tatoh,547
t,tũtatoh,ũtatoh,77
o,omame,mame,747
tyrisenan,tyrisenanomame,omame,348
tyrisena,tyrisenanomame,nomame,137
w,winomame,inomame,8
jerusa,jerusarẽ,rẽ,1185
ta,taerẽ,erẽ,60
j,jea,ea,807
ju,jutea,tea,171
j,jutea,utea,171
kapu,kapuaõ,aõ,391
rã,rãnaõ,naõ,30
r,rãnaõ,ãnaõ,30
p,pata,ata,1583
ti,tiote,ote,478
e,erote,rote,360
e,esaryme,saryme,666
tu,tuisaryme,isaryme,450
typata,typatakẽme,kẽme,16
r,rokẽme,okẽme,6
ot,otua,ua,1059
o,otua,tua,1056
or,orutua,utua,1056
o,orutua,rutua,1056
to,toytose,ytose,4525
t,toytose,oytose,4525
jerus,jerusarẽ,arẽ,1082
jeru,jerusarẽ,sarẽ,1049
jer,jerusarẽ,usarẽ,1049
je,jerusarẽ,rusarẽ,1049
j,jerusarẽ,erusarẽ,1049
tyyrypyr,tyyrypyrykõ,ykõ,18989
