Apalaí,Apinayé,Apurinã,Bakairi,Guajajara,Guarani,Kadiwéu,Kagwahiva,Kaigáng,Kaiwá,Karajá,Kayabí,kayapó,Macushi,Maxakalí,Mundurukú,Nadëb,Nambikuára,Parecis,Paumarí,Português,Rikbaktsa,Sateré-Mawé,Terena,Tukano,Urubu-Kaapor,Xavánte
tykase,mẽ,ininiã,—,aꞌe,haꞌe,odaa,ei,tóg,heꞌi,heka,ꞌga,me,moropai,te,—,do,a²­nũ²­a²­,hoka,ida,e,—,hap,ne,tohô,chay,te
jezu,nẽ,teoso,modo,maꞌe,vaꞌe,me,g̃a,tỹ,vaꞌe,tahe,ꞌgã,ne,mîrîrî,tu,io'e,nꞌaa,—,—,va'ora,que,bo,miꞌi,ina,kɨ̃ɨ̂,mana,'re
mame,hã,xesosi,jesus,"nehe,",kuery,ane,pe,ag,xe,tai,ꞌjau,nhym,pe,ha,jesus,ta,je³­su²­jah³­la²­,atyo,ada,o,deus,e.,neko,niîwĩ.,nil.,hã
ritonõpo,amnhĩ,iua,deus,putar,vy,niɡ̶ijo,ti,kỹ,katu,jesuisi,aꞌeramũ,arỳm,pra,tikmũ'ũn,ip,ti,nxa­ha¹­te¹­,jesus,adani,a,niy.,i,xâne,jesu,lluy,mono
xine,nhũm,kãkiti,ise,—,—,niɡ̶ina,ga,ti,vaꞌerã,kia,jejui,ar,toꞌ,yõg,deus,mꞌ,sa²­kxa­lu²­,hatyo,bana,de,batu,hawyi,ya,niî,diospa,za'ra
toto,kot,atoko,warâ,wà,ma,coda,jesus'ga,ke,ha,mahãdu,je,kam,pîꞌ,xop,ip.,bë,txa­wã¹­sũ̱³­na²­,hatyaoseta,ija'ari,os,sesus,yt,jesus,naâ,jesus,norĩ
roropa,o,kona,myani,pe,ꞌrã,ja,po,he,ramo,iny,nipo,kute,jesus,pu,g̃u,sa,wãn³­txa­,maisa,deus,do,kytsa,ti,yane,noho,cay,na
eya,ho,ninoa,olâ,rehe,py,jesus,ji,mũ,upe,aõma,futat,dja,tîîse,tu',ma,hẽ,ta¹­hxa­hẽ¹­la²­.,nexa,jesus,não,ty,—,koati,õ'âkɨ̃hɨ,ñatac,ma
ynara,ã,kotxi,aituo,nehe.,re,oko,tupana'ga,ũ,nhandejáry,deuxu,ꞌã,ane.,wanî,nũy,o'e,bä,sũ̱³­na²­,nexa.,vara,para,humo,e,yoko,me'ra,nin.,tô
pyra,kãm,ikara,xina,wà.,rami,aneotedoɡ̶oji,a'ero,ãjag,hesu,tamy,pẽ,ba,paapa,topa,soat,hyb,nxe³­sxã­,exahe,hari.,jesus,iwaze,tupana,koane,mɨsâ,chaynu,za
