stems,words,sufix,freq
amorihkas,amorihkasẽ,ẽ,0.0017147525253941823
ypap,ypapẽ,ẽ,0.0017147525253941823
taer,taerẽ,ẽ,0.0017147525253941823
ak,akẽ,ẽ,0.0017147525253941823
epokahkas,epokahkasẽ,ẽ,0.0017147525253941823
rok,rokẽ,ẽ,0.0017147525253941823
per,perẽ,ẽ,0.0017147525253941823
rup,rupẽ,ẽ,0.0017147525253941823
tuar,tuarẽ,ẽ,0.0017147525253941823
tytapyik,tytapyikẽ,ẽ,0.0017147525253941823
zahs,zahsẽ,ẽ,0.0017147525253941823
tymõkomok,tymõkomokẽ,ẽ,0.0017147525253941823
ris,risẽ,ẽ,0.0017147525253941823
tyrohs,tyrohsẽ,ẽ,0.0017147525253941823
mo,moẽ,ẽ,0.0017147525253941823
tarykas,tarykasẽ,ẽ,0.0017147525253941823
tapos,taposẽ,ẽ,0.0017147525253941823
tõs,tõsẽ,ẽ,0.0017147525253941823
tytineruk,tytinerukẽ,ẽ,0.0017147525253941823
typap,typapẽ,ẽ,0.0017147525253941823
k,kẽ,ẽ,0.0017147525253941823
ynanak,ynanakẽ,ẽ,0.0017147525253941823
ber,berẽ,ẽ,0.0017147525253941823
myh,myhẽ,ẽ,0.0017147525253941823
tos,tosẽ,ẽ,0.0017147525253941823
tyahkas,tyahkasẽ,ẽ,0.0017147525253941823
jes,jesẽ,ẽ,0.0017147525253941823
enurus,enurusẽ,ẽ,0.0017147525253941823
tonahs,tonahsẽ,ẽ,0.0017147525253941823
metuzar,metuzarẽ,ẽ,0.0017147525253941823
mak,makẽ,ẽ,0.0017147525253941823
tũpor,tũporẽ,ẽ,0.0017147525253941823
meros,merosẽ,ẽ,0.0017147525253941823
s,sẽ,ẽ,0.0017147525253941823
tyyrypyhpyk,tyyrypyhpykẽ,ẽ,0.0017147525253941823
orihmapos,orihmaposẽ,ẽ,0.0017147525253941823
tumũku,tumũkuẽ,ẽ,0.0017147525253941823
totapas,totapasẽ,ẽ,0.0017147525253941823
j,jẽ,ẽ,0.0017147525253941823
apores,aporesẽ,ẽ,0.0017147525253941823
xik,xikẽ,ẽ,0.0017147525253941823
eh,ehẽ,ẽ,0.0017147525253941823
ekas,ekasẽ,ẽ,0.0017147525253941823
sar,sarẽ,ẽ,0.0017147525253941823
tokok,tokokẽ,ẽ,0.0017147525253941823
toper,toperẽ,ẽ,0.0017147525253941823
etahkas,etahkasẽ,ẽ,0.0017147525253941823
ekuhs,ekuhsẽ,ẽ,0.0017147525253941823
es,esẽ,ẽ,0.0017147525253941823
pahs,pahsẽ,ẽ,0.0017147525253941823
typoxin,typoxinẽ,ẽ,0.0017147525253941823
apuhs,apuhsẽ,ẽ,0.0017147525253941823
etapas,etapasẽ,ẽ,0.0017147525253941823
tohpik,tohpikẽ,ẽ,0.0017147525253941823
ajerusar,ajerusarẽ,ẽ,0.0017147525253941823
tykyrys,tykyrysẽ,ẽ,0.0017147525253941823
rahk,rahkẽ,ẽ,0.0017147525253941823
apap,apapẽ,ẽ,0.0017147525253941823
pap,papẽ,ẽ,0.0017147525253941823
turu,turuẽ,ẽ,0.0017147525253941823
jerusar,jerusarẽ,ẽ,0.0017147525253941823
wãtas,wãtasẽ,ẽ,0.0017147525253941823
zahkas,zahkasẽ,ẽ,0.0017147525253941823
t,tẽ,ẽ,0.0017147525253941823
typanar,typanarẽ,ẽ,0.0017147525253941823
tokaros,tokarosẽ,ẽ,0.0017147525253941823
mana,manaẽ,ẽ,0.0017147525253941823
orihs,orihsẽ,ẽ,0.0017147525253941823
ekurãkas,ekurãkasẽ,ẽ,0.0017147525253941823
por,porẽ,ẽ,0.0017147525253941823
tahpir,tahpirẽ,ẽ,0.0017147525253941823
mitiren,mitirene,e,0.0546876388179324
orikyryk,orikyryke,e,0.0546876388179324
kõm,kõme,e,0.0546876388179324
tõsenuruhkas,tõsenuruhkase,e,0.0546876388179324
ẽpatakãmas,ẽpatakãmase,e,0.0546876388179324
terep,terepe,e,0.0546876388179324
tuhkãkohta,tuhkãkohtae,e,0.0546876388179324
kamaram,kamarame,e,0.0546876388179324
katopõpyrymurutas,katopõpyrymurutase,e,0.0546876388179324
tãtatapoitohkõm,tãtatapoitohkõme,e,0.0546876388179324
1manomoraram,1manomorarame,e,0.0546876388179324
nenerym,neneryme,e,0.0546876388179324
maromoraram,maromorarame,e,0.0546876388179324
tyhxiropitos,tyhxiropitose,e,0.0546876388179324
osenetyas,osenetyase,e,0.0546876388179324
ekurãkapos,ekurãkapose,e,0.0546876388179324
ynanoturuas,ynanoturuase,e,0.0546876388179324
tosehtos,tosehtose,e,0.0546876388179324
tõsemeikas,tõsemeikase,e,0.0546876388179324
tõsenuhmaryk,tõsenuhmaryke,e,0.0546876388179324
jaroporyk,jaroporyke,e,0.0546876388179324
etaparyk,etaparyke,e,0.0546876388179324
popỹm,popỹme,e,0.0546876388179324
eremiatopõpyrya,eremiatopõpyryae,e,0.0546876388179324
typahs,typahse,e,0.0546876388179324
omoty,omotye,e,0.0546876388179324
mynytym,mynytyme,e,0.0546876388179324
omõkomorykõm,omõkomorykõme,e,0.0546876388179324
tasarahs,tasarahse,e,0.0546876388179324
tomahk,tomahke,e,0.0546876388179324
kutuarõtanohs,kutuarõtanohse,e,0.0546876388179324
ymoty,ymotye,e,0.0546876388179324
akohtohm,akohtohme,e,0.0546876388179324
