stems,words,sufix,freq
hito,hitom,m,0.02200074282077911
ixkwỳ,ixkwỳm,m,0.02200074282077911
kuwy,kuwym,m,0.02200074282077911
hpu,hpum,m,0.02200074282077911
karõamnepê,karõamnepêm,m,0.02200074282077911
ixpijaà,ixpijaàm,m,0.02200074282077911
mẽapã,mẽapãm,m,0.02200074282077911
hkà,hkàm,m,0.02200074282077911
ajetã,ajetãm,m,0.02200074282077911
pu,pum,m,0.02200074282077911
pahpã,pahpãm,m,0.02200074282077911
htẽ,htẽm,m,0.02200074282077911
kurũ,kurũm,m,0.02200074282077911
axô,axôm,m,0.02200074282077911
nũ,nũm,m,0.02200074282077911
pahkwỳ,pahkwỳm,m,0.02200074282077911
pyràknhũ,pyràknhũm,m,0.02200074282077911
aro,arom,m,0.02200074282077911
ixkõ,ixkõm,m,0.02200074282077911
jarẽnhrô,jarẽnhrôm,m,0.02200074282077911
hkũ,hkũm,m,0.02200074282077911
akupỹ,akupỹm,m,0.02200074282077911
pã,pãm,m,0.02200074282077911
pahkrã,pahkrãm,m,0.02200074282077911
ã,ãm,m,0.02200074282077911
axkahkũ,axkahkũm,m,0.02200074282077911
gesẽ,gesẽm,m,0.02200074282077911
axpu,axpum,m,0.02200074282077911
karõnhũ,karõnhũm,m,0.02200074282077911
amnhĩ,amnhĩm,m,0.02200074282077911
ta,tam,m,0.02200074282077911
hkrã,hkrãm,m,0.02200074282077911
harẽnhno,harẽnhnom,m,0.02200074282077911
atũ,atũm,m,0.02200074282077911
mẽhõ,mẽhõm,m,0.02200074282077911
wỳrnhũ,wỳrnhũm,m,0.02200074282077911
kirõ,kirõm,m,0.02200074282077911
htà,htàm,m,0.02200074282077911
amỳ,amỳm,m,0.02200074282077911
hakwa,hakwam,m,0.02200074282077911
htũ,htũm,m,0.02200074282077911
twỳ,twỳm,m,0.02200074282077911
umpỳ,umpỳm,m,0.02200074282077911
anhĩhkra,anhĩhkram,m,0.02200074282077911
tẽ,tẽm,m,0.02200074282077911
pakrãhkà,pakrãhkàm,m,0.02200074282077911
kre,krem,m,0.02200074282077911
nhũ,nhũm,m,0.02200074282077911
hpã,hpãm,m,0.02200074282077911
hpõ,hpõm,m,0.02200074282077911
kritpê,kritpêm,m,0.02200074282077911
kuro,kurom,m,0.02200074282077911
hkre,hkrem,m,0.02200074282077911
ha,ham,m,0.02200074282077911
prã,prãm,m,0.02200074282077911
apkati,apkatim,m,0.02200074282077911
akrãhtũ,akrãhtũm,m,0.02200074282077911
apã,apãm,m,0.02200074282077911
mẽhpã,mẽhpãm,m,0.02200074282077911
ka,kam,m,0.02200074282077911
arũ,arũm,m,0.02200074282077911
tã,tãm,m,0.02200074282077911
hi,him,m,0.02200074282077911
sa,sam,m,0.02200074282077911
mẽpahpã,mẽpahpãm,m,0.02200074282077911
tà,tàm,m,0.02200074282077911
ja,jam,m,0.02200074282077911
sã,sãm,m,0.02200074282077911
ixtẽ,ixtẽm,m,0.02200074282077911
akwỳ,akwỳm,m,0.02200074282077911
pa,pam,m,0.02200074282077911
hkrãhtũ,hkrãhtũm,m,0.02200074282077911
akrã,akrãm,m,0.02200074282077911
no,nom,m,0.02200074282077911
hte,htem,m,0.02200074282077911
htwỳ,htwỳm,m,0.02200074282077911
papa,papam,m,0.02200074282077911
gà,gàm,m,0.02200074282077911
wa,wam,m,0.02200074282077911
harẽnhrô,harẽnhrôm,m,0.02200074282077911
xà,xàm,m,0.02200074282077911
kõ,kõm,m,0.02200074282077911
ixkre,ixkrem,m,0.02200074282077911
tũ,tũm,m,0.02200074282077911
akuro,akurom,m,0.02200074282077911
ĩhkra,ĩhkram,m,0.02200074282077911
upỳ,upỳm,m,0.02200074282077911
axte,axtem,m,0.02200074282077911
amnepê,amnepêm,m,0.02200074282077911
ixkuro,ixkurom,m,0.02200074282077911
põ,põm,m,0.02200074282077911
mũtũ,mũtũm,m,0.02200074282077911
nhã,nhãm,m,0.02200074282077911
ixro,ixrom,m,0.02200074282077911
harẽnhnhũ,harẽnhnhũm,m,0.02200074282077911
akã,akãm,m,0.02200074282077911
kape,kapem,m,0.02200074282077911
rũ,rũm,m,0.02200074282077911
jarẽnhnhũ,jarẽnhnhũm,m,0.02200074282077911
mẽsopotã,mẽsopotãm,m,0.02200074282077911
ixkrãhtũ,ixkrãhtũm,m,0.02200074282077911
ro,rom,m,0.02200074282077911
pahpijaà,pahpijaàm,m,0.02200074282077911
kaxkwa,kaxkwam,m,0.02200074282077911
hõ,hõm,m,0.02200074282077911
nhỹhỹ,nhỹhỹm,m,0.02200074282077911
akurũ,akurũm,m,0.02200074282077911
panhĩhkra,panhĩhkram,m,0.02200074282077911
paro,parom,m,0.02200074282077911
axã,axãm,m,0.02200074282077911
hkêtnhũ,hkêtnhũm,m,0.02200074282077911
apijaà,apijaàm,m,0.02200074282077911
xupỳ,xupỳm,m,0.02200074282077911
atẽ,atẽm,m,0.02200074282077911
we,wem,m,0.02200074282077911
