stems,words,sufix,freq
aramaic,aramaico,o,0.029688830298536157
pauloram,pauloramo,o,0.029688830298536157
pepokohavam,pepokohavamo,o,0.029688830298536157
tip,tipo,o,0.029688830298536157
wamatah,wamataho,o,0.029688830298536157
ombojik,ombojiko,o,0.029688830298536157
nguav,nguavo,o,0.029688830298536157
rovavuram,rovavuramo,o,0.029688830298536157
erast,erasto,o,0.029688830298536157
ekiav,ekiavo,o,0.029688830298536157
onhin,onhino,o,0.029688830298536157
yreter,yretero,o,0.029688830298536157
apiav,apiavo,o,0.029688830298536157
areópag,areópago,o,0.029688830298536157
penhoarom,penhoaromo,o,0.029688830298536157
tirek,tireko,o,0.029688830298536157
ombopir,ombopiro,o,0.029688830298536157
pytuhemam,pytuhemamo,o,0.029688830298536157
kor,koro,o,0.029688830298536157
ruhavam,ruhavamo,o,0.029688830298536157
garam,garamo,o,0.029688830298536157
tomop,tomopo,o,0.029688830298536157
ndepojykahareter,ndepojykaharetero,o,0.029688830298536157
ajik,ajiko,o,0.029688830298536157
gamobatizar,gamobatizaro,o,0.029688830298536157
torepok,torepoko,o,0.029688830298536157
mop,mopo,o,0.029688830298536157
toap,toapo,o,0.029688830298536157
k,ko,o,0.029688830298536157
per,pero,o,0.029688830298536157
espelh,espelho,o,0.029688830298536157
pejapyakav,pejapyakavo,o,0.029688830298536157
ukatuav,ukatuavo,o,0.029688830298536157
yir,yiro,o,0.029688830298536157
orepojykaharam,orepojykaharamo,o,0.029688830298536157
okyhyjiheteav,okyhyjiheteavo,o,0.029688830298536157
neremim,neremimo,o,0.029688830298536157
rembipojykaharam,rembipojykaharamo,o,0.029688830298536157
opok,opoko,o,0.029688830298536157
mboheakwakatuav,mboheakwakatuavo,o,0.029688830298536157
tap,tapo,o,0.029688830298536157
m,mo,o,0.029688830298536157
sir,siro,o,0.029688830298536157
jumentinh,jumentinho,o,0.029688830298536157
ikwahapyram,ikwahapyramo,o,0.029688830298536157
tapemb,tapembo,o,0.029688830298536157
ruvihavuhur,ruvihavuhuro,o,0.029688830298536157
eremon,eremono,o,0.029688830298536157
okyhyjiav,okyhyjiavo,o,0.029688830298536157
lin,lino,o,0.029688830298536157
oromond,oromondo,o,0.029688830298536157
ndepiagateteav,ndepiagateteavo,o,0.029688830298536157
omoirũharam,omoirũharamo,o,0.029688830298536157
ojikojik,ojikojiko,o,0.029688830298536157
sétim,sétimo,o,0.029688830298536157
tit,tito,o,0.029688830298536157
jukav,jukavo,o,0.029688830298536157
yvagam,yvagamo,o,0.029688830298536157
pejikokatuheteav,pejikokatuheteavo,o,0.029688830298536157
ikwahyheteav,ikwahyheteavo,o,0.029688830298536157
amb,ambo,o,0.029688830298536157
nemb,nembo,o,0.029688830298536157
nemoirũharam,nemoirũharamo,o,0.029688830298536157
anhin,anhino,o,0.029688830298536157
ejoryvam,ejoryvamo,o,0.029688830298536157
japiav,japiavo,o,0.029688830298536157
movahĩharam,movahĩharamo,o,0.029688830298536157
remimbotarim,remimbotarimo,o,0.029688830298536157
moirũharam,moirũharamo,o,0.029688830298536157
acrist,acristo,o,0.029688830298536157
topomond,topomondo,o,0.029688830298536157
reakwakatur,reakwakaturo,o,0.029688830298536157
anduvihavuhuheter,anduvihavuhuhetero,o,0.029688830298536157
tomb,tombo,o,0.029688830298536157
tapejogwerek,tapejogwereko,o,0.029688830298536157
petimóte,petimóteo,o,0.029688830298536157
repiakaram,repiakaramo,o,0.029688830298536157
pepopep,pepopepo,o,0.029688830298536157
ikatur,ikaturo,o,0.029688830298536157
mbokarakatuav,mbokarakatuavo,o,0.029688830298536157
ĩteheav,ĩteheavo,o,0.029688830298536157
jakatuav,jakatuavo,o,0.029688830298536157
mbopir,mbopiro,o,0.029688830298536157
pendekokatur,pendekokaturo,o,0.029688830298536157
