stems,words,sufix,freq
neápoli,neápolis,s,0.006499346859532855
agepafra,agepafras,s,0.006499346859532855
jesu,jesus,s,0.006499346859532855
anfípoli,anfípolis,s,0.006499346859532855
vẽménjesu,vẽménjesus,s,0.006499346859532855
serie,series,s,0.006499346859532855
sila,silas,s,0.006499346859532855
eufrate,eufrates,s,0.006499346859532855
clopa,clopas,s,0.006499346859532855
pentecoste,pentecostes,s,0.006499346859532855
ártema,ártemas,s,0.006499346859532855
messia,messias,s,0.006499346859532855
pilato,pilatos,s,0.006499346859532855
emaú,emaús,s,0.006499346859532855
abia,abias,s,0.006499346859532855
cilícia,cilícias,s,0.006499346859532855
jyvẽnjesu,jyvẽnjesus,s,0.006499346859532855
filipo,filipos,s,0.006499346859532855
hermógene,hermógenes,s,0.006499346859532855
có,cós,s,0.006499346859532855
juda,judas,s,0.006499346859532855
isaía,isaías,s,0.006499346859532855
jambre,jambres,s,0.006499346859532855
hierápoli,hierápolis,s,0.006499346859532855
mateu,mateus,s,0.006499346859532855
samo,samos,s,0.006499346859532855
tomá,tomás,s,0.006499346859532855
baraquia,baraquias,s,0.006499346859532855
boanerge,boanerges,s,0.006499346859532855
decápoli,decápolis,s,0.006499346859532855
oliveira,oliveiras,s,0.006499346859532855
epafra,epafras,s,0.006499346859532855
ano,anos,s,0.006499346859532855
hejesu,hejesus,s,0.006499346859532855
teuda,teudas,s,0.006499346859532855
dema,demas,s,0.006499346859532855
cleopa,cleopas,s,0.006499346859532855
cefa,cefas,s,0.006499346859532855
tũjesu,tũjesus,s,0.006499346859532855
dorca,dorcas,s,0.006499346859532855
kónãnjesu,kónãnjesus,s,0.006499346859532855
moisé,moisés,s,0.006499346859532855
dia,dias,s,0.006499346859532855
abraço,abraços,s,0.006499346859532855
matia,matias,s,0.006499346859532855
eno,enos,s,0.006499346859532855
nicolaíta,nicolaítas,s,0.006499346859532855
tiberíade,tiberíades,s,0.006499346859532855
marco,marcos,s,0.006499346859532855
jeconia,jeconias,s,0.006499346859532855
matatia,matatias,s,0.006499346859532855
patmo,patmos,s,0.006499346859532855
assô,assôs,s,0.006499346859532855
estáqui,estáquis,s,0.006499346859532855
herode,herodes,s,0.006499346859532855
uria,urias,s,0.006499346859532855
estéfana,estéfanas,s,0.006499346859532855
uzia,uzias,s,0.006499346859532855
diótrefe,diótrefes,s,0.006499346859532855
zacaria,zacarias,s,0.006499346859532855
atena,atenas,s,0.006499346859532855
