stems,words,sufix,freq
pejejeꞌaram,pejejeꞌaramũ,ũ,0.021898367957137087
afueweram,afueweramũ,ũ,0.021898367957137087
nekoram,nekoramũ,ũ,0.021898367957137087
jerewam,jerewamũ,ũ,0.021898367957137087
orojemiesagam,orojemiesagamũ,ũ,0.021898367957137087
amumeꞌriram,amumeꞌriramũ,ũ,0.021898367957137087
jumiꞌaranũ,jumiꞌaranũũ,ũ,0.021898367957137087
ojeaꞌgwawam,ojeaꞌgwawamũ,ũ,0.021898367957137087
ruruꞌjawaꞌneꞌemam,ruruꞌjawaꞌneꞌemamũ,ũ,0.021898367957137087
kũjãmeram,kũjãmeramũ,ũ,0.021898367957137087
waparasigam,waparasigamũ,ũ,0.021898367957137087
jeꞌegaiwam,jeꞌegaiwamũ,ũ,0.021898367957137087
ruram,ruramũ,ũ,0.021898367957137087
wemimũꞌẽmeram,wemimũꞌẽmeramũ,ũ,0.021898367957137087
amunarũm,amunarũmũ,ũ,0.021898367957137087
teaꞌwyreꞌemam,teaꞌwyreꞌemamũ,ũ,0.021898367957137087
weaꞌaruꞌjaweꞌemam,weaꞌaruꞌjaweꞌemamũ,ũ,0.021898367957137087
jarejeapyoaꞌneꞌemam,jarejeapyoaꞌneꞌemamũ,ũ,0.021898367957137087
iwaẽmam,iwaẽmamũ,ũ,0.021898367957137087
ꞌarim,ꞌarimũ,ũ,0.021898367957137087
peꞌaawam,peꞌaawamũ,ũ,0.021898367957137087
akwareꞌemam,akwareꞌemamũ,ũ,0.021898367957137087
kũjãmukuferam,kũjãmukuferamũ,ũ,0.021898367957137087
ejeaꞌaram,ejeaꞌaramũ,ũ,0.021898367957137087
trofim,trofimũ,ũ,0.021898367957137087
raꞌyryrũũnam,raꞌyryrũũnamũ,ũ,0.021898367957137087
jareymaneꞌemam,jareymaneꞌemamũ,ũ,0.021898367957137087
wagoꞌoram,wagoꞌoramũ,ũ,0.021898367957137087
opoyjeꞌemam,opoyjeꞌemamũ,ũ,0.021898367957137087
amunar,amunarũ,ũ,0.021898367957137087
moporowykyukaawam,moporowykyukaawamũ,ũ,0.021898367957137087
opojyayram,opojyayramũ,ũ,0.021898367957137087
tejemiayuwam,tejemiayuwamũ,ũ,0.021898367957137087
pẽneateeꞌemam,pẽneateeꞌemamũ,ũ,0.021898367957137087
poanamũ,poanamũũ,ũ,0.021898367957137087
jeruagam,jeruagamũ,ũ,0.021898367957137087
muesageawam,muesageawamũ,ũ,0.021898367957137087
kaaruweteram,kaaruweteramũ,ũ,0.021898367957137087
juapyreram,juapyreramũ,ũ,0.021898367957137087
upeꞌawam,upeꞌawamũ,ũ,0.021898367957137087
pyꞌarayparam,pyꞌarayparamũ,ũ,0.021898367957137087
nuram,nuramũ,ũ,0.021898367957137087
ꞌueꞌemam,ꞌueꞌemamũ,ũ,0.021898367957137087
ipojeupawam,ipojeupawamũ,ũ,0.021898367957137087
kusaram,kusaramũ,ũ,0.021898367957137087
ꞌareꞌemam,ꞌareꞌemamũ,ũ,0.021898367957137087
monoꞌogawam,monoꞌogawamũ,ũ,0.021898367957137087
wopejerawam,wopejerawamũ,ũ,0.021898367957137087
moiawareteram,moiawareteramũ,ũ,0.021898367957137087
n,nũ,ũ,0.021898367957137087
wyram,wyramũ,ũ,0.021898367957137087
porenuwiweram,porenuwiweramũ,ũ,0.021898367957137087
omonoram,omonoramũ,ũ,0.021898367957137087
ayeteram,ayeteramũ,ũ,0.021898367957137087
oꞌmeꞌemam,oꞌmeꞌemamũ,ũ,0.021898367957137087
peuwaram,peuwaramũ,ũ,0.021898367957137087
jereaꞌaram,jereaꞌaramũ,ũ,0.021898367957137087
orotyweꞌemam,orotyweꞌemamũ,ũ,0.021898367957137087
oporokwaawiwereꞌemam,oporokwaawiwereꞌemamũ,ũ,0.021898367957137087
napauloram,napauloramũ,ũ,0.021898367957137087
jarepyꞌaꞌwyram,jarepyꞌaꞌwyramũ,ũ,0.021898367957137087
wopeypeyjam,wopeypeyjamũ,ũ,0.021898367957137087
pejeꞌakwaaweꞌemam,pejeꞌakwaaweꞌemamũ,ũ,0.021898367957137087
imoiawam,imoiawamũ,ũ,0.021898367957137087
ꞌjawewaram,ꞌjawewaramũ,ũ,0.021898367957137087
pẽnekiꞌyrareteram,pẽnekiꞌyrareteramũ,ũ,0.021898367957137087
jareꞌarasigeꞌemam,jareꞌarasigeꞌemamũ,ũ,0.021898367957137087
poitawam,poitawamũ,ũ,0.021898367957137087
uꞌaꞌiram,uꞌaꞌiramũ,ũ,0.021898367957137087
itywereꞌemam,itywereꞌemamũ,ũ,0.021898367957137087
aeruwam,aeruwamũ,ũ,0.021898367957137087
kwarawyruuꞌiram,kwarawyruuꞌiramũ,ũ,0.021898367957137087
wemimureram,wemimureramũ,ũ,0.021898367957137087
teããpyram,teããpyramũ,ũ,0.021898367957137087
ojerowiarukaawam,ojerowiarukaawamũ,ũ,0.021898367957137087
otywereteram,otywereteramũ,ũ,0.021898367957137087
momyrũm,momyrũmũ,ũ,0.021898367957137087
weaꞌaawam,weaꞌaawamũ,ũ,0.021898367957137087
tyarũnam,tyarũnamũ,ũ,0.021898367957137087
norywam,norywamũ,ũ,0.021898367957137087
ajamanũnam,ajamanũnamũ,ũ,0.021898367957137087
katuꞌokaram,katuꞌokaramũ,ũ,0.021898367957137087
janeeaꞌeram,janeeaꞌeramũ,ũ,0.021898367957137087
jarejakateꞌemeꞌemam,jarejakateꞌemeꞌemamũ,ũ,0.021898367957137087
pẽnuwareteram,pẽnuwareteramũ,ũ,0.021898367957137087
otypawam,otypawamũ,ũ,0.021898367957137087
jareojereꞌemam,jareojereꞌemamũ,ũ,0.021898367957137087
uꞌarasigam,uꞌarasigamũ,ũ,0.021898367957137087
oywyrafenam,oywyrafenamũ,ũ,0.021898367957137087
erepyyr,erepyyrũ,ũ,0.021898367957137087
romanũnam,romanũnamũ,ũ,0.021898367957137087
waꞌwyreꞌemam,waꞌwyreꞌemamũ,ũ,0.021898367957137087
nakwaparim,nakwaparimũ,ũ,0.021898367957137087
jarareteram,jarareteramũ,ũ,0.021898367957137087
omuoryparam,omuoryparamũ,ũ,0.021898367957137087
otaꞌwaeꞌemam,otaꞌwaeꞌemamũ,ũ,0.021898367957137087
remimuꞌakwaaweram,remimuꞌakwaaweramũ,ũ,0.021898367957137087
reteeaꞌeram,reteeaꞌeramũ,ũ,0.021898367957137087
pejeporomonowereꞌemam,pejeporomonowereꞌemamũ,ũ,0.021898367957137087
poromuꞌakwaawiweram,poromuꞌakwaawiweramũ,ũ,0.021898367957137087
renuwam,renuwamũ,ũ,0.021898367957137087
waꞌyrayram,waꞌyrayramũ,ũ,0.021898367957137087
iꞌaram,iꞌaramũ,ũ,0.021898367957137087
pejeparuapowereꞌemam,pejeparuapowereꞌemamũ,ũ,0.021898367957137087
resaukaawam,resaukaawamũ,ũ,0.021898367957137087
tyweꞌemam,tyweꞌemamũ,ũ,0.021898367957137087
meꞌegawam,meꞌegawamũ,ũ,0.021898367957137087
pear,pearũ,ũ,0.021898367957137087
wapir,wapirũ,ũ,0.021898367957137087
akuꞌiaiwam,akuꞌiaiwamũ,ũ,0.021898367957137087
nanam,nanamũ,ũ,0.021898367957137087
pejefuakaram,pejefuakaramũ,ũ,0.021898367957137087
taꞌyreꞌemam,taꞌyreꞌemamũ,ũ,0.021898367957137087
mojoꞌokaram,mojoꞌokaramũ,ũ,0.021898367957137087
renuwukaawam,renuwukaawamũ,ũ,0.021898367957137087
renuparam,renuparamũ,ũ,0.021898367957137087
weteyr,weteyrũ,ũ,0.021898367957137087
jarefaemam,jarefaemamũ,ũ,0.021898367957137087
aiporam,aiporamũ,ũ,0.021898367957137087
imuakỹmaram,imuakỹmaramũ,ũ,0.021898367957137087
oporomuriwereꞌemam,oporomuriwereꞌemamũ,ũ,0.021898367957137087
tiagoram,tiagoramũ,ũ,0.021898367957137087
jareparuapowereꞌemam,jareparuapowereꞌemamũ,ũ,0.021898367957137087
nakũimaꞌeram,nakũimaꞌeramũ,ũ,0.021898367957137087
tejejukaawam,tejejukaawamũ,ũ,0.021898367957137087
ejayr,ejayrũ,ũ,0.021898367957137087
okaturãturamam,okaturãturamamũ,ũ,0.021898367957137087
nemirekoram,nemirekoramũ,ũ,0.021898367957137087
nuruꞌjawam,nuruꞌjawamũ,ũ,0.021898367957137087
osawaꞌeram,osawaꞌeramũ,ũ,0.021898367957137087
ayayram,ayayramũ,ũ,0.021898367957137087
ikaꞌaranũ,ikaꞌaranũũ,ũ,0.021898367957137087
wenyfugaiwayram,wenyfugaiwayramũ,ũ,0.021898367957137087
ipiaram,ipiaramũ,ũ,0.021898367957137087
erowiaaram,erowiaaramũ,ũ,0.021898367957137087
werowiaruꞌjawam,werowiaruꞌjawamũ,ũ,0.021898367957137087
warumamaꞌwisigam,warumamaꞌwisigamũ,ũ,0.021898367957137087
reateeꞌemam,reateeꞌemamũ,ũ,0.021898367957137087
jereateeram,jereateeramũ,ũ,0.021898367957137087
apyteꞌrarim,apyteꞌrarimũ,ũ,0.021898367957137087
pyyr,pyyrũ,ũ,0.021898367957137087
apyakwafugam,apyakwafugamũ,ũ,0.021898367957137087
weapyoeꞌemam,weapyoeꞌemamũ,ũ,0.021898367957137087
rorywam,rorywamũ,ũ,0.021898367957137087
opytunam,opytunamũ,ũ,0.021898367957137087
wemiayuwam,wemiayuwamũ,ũ,0.021898367957137087
mojenosĩawam,mojenosĩawamũ,ũ,0.021898367957137087
turam,turamũ,ũ,0.021898367957137087
muꞌearũm,muꞌearũmũ,ũ,0.021898367957137087
iꞌaeꞌemam,iꞌaeꞌemamũ,ũ,0.021898367957137087
tejenyram,tejenyramũ,ũ,0.021898367957137087
rapyram,rapyramũ,ũ,0.021898367957137087
akuekuewam,akuekuewamũ,ũ,0.021898367957137087
wekõẽãimaweꞌemam,wekõẽãimaweꞌemamũ,ũ,0.021898367957137087
etyweꞌemam,etyweꞌemamũ,ũ,0.021898367957137087
pejekurawam,pejekurawamũ,ũ,0.021898367957137087
waywayram,waywayramũ,ũ,0.021898367957137087
ojeꞌegawarũmeꞌemam,ojeꞌegawarũmeꞌemamũ,ũ,0.021898367957137087
jesaukaawam,jesaukaawamũ,ũ,0.021898367957137087
otesirũgatueꞌemam,otesirũgatueꞌemamũ,ũ,0.021898367957137087
pẽꞌmeꞌemam,pẽꞌmeꞌemamũ,ũ,0.021898367957137087
poropoariweram,poropoariweramũ,ũ,0.021898367957137087
otyweram,otyweramũ,ũ,0.021898367957137087
peoar,peoarũ,ũ,0.021898367957137087
tekuꞌiram,tekuꞌiramũ,ũ,0.021898367957137087
amanũawam,amanũawamũ,ũ,0.021898367957137087
janewujaram,janewujaramũ,ũ,0.021898367957137087
okatuꞌogeꞌemam,okatuꞌogeꞌemamũ,ũ,0.021898367957137087
mogyawar,mogyawarũ,ũ,0.021898367957137087
ojemokaꞌaranũ,ojemokaꞌaranũũ,ũ,0.021898367957137087
esakawam,esakawamũ,ũ,0.021898367957137087
janeresagesageram,janeresagesageramũ,ũ,0.021898367957137087
ꞌymuawam,ꞌymuawamũ,ũ,0.021898367957137087
muekõẽãjawam,muekõẽãjawamũ,ũ,0.021898367957137087
ꞌyjepanũ,ꞌyjepanũũ,ũ,0.021898367957137087
pejepyꞌaꞌwyreꞌemam,pejepyꞌaꞌwyreꞌemamũ,ũ,0.021898367957137087
remirerooram,remirerooramũ,ũ,0.021898367957137087
poriayꞌiram,poriayꞌiramũ,ũ,0.021898367957137087
j,jũ,ũ,0.021898367957137087
katuꞌogam,katuꞌogamũ,ũ,0.021898367957137087
wogakajam,wogakajamũ,ũ,0.021898367957137087
tefuakapawam,tefuakapawamũ,ũ,0.021898367957137087
monoawamaꞌeram,monoawamaꞌeramũ,ũ,0.021898367957137087
aruojereꞌemam,aruojereꞌemamũ,ũ,0.021898367957137087
wapyakwafugeꞌemam,wapyakwafugeꞌemamũ,ũ,0.021898367957137087
pejemuar,pejemuarũ,ũ,0.021898367957137087
wesagaꞌuweꞌemam,wesagaꞌuweꞌemamũ,ũ,0.021898367957137087
oporomutareꞌemam,oporomutareꞌemamũ,ũ,0.021898367957137087
kuꞌireteram,kuꞌireteramũ,ũ,0.021898367957137087
ipiũnũ,ipiũnũũ,ũ,0.021898367957137087
tepyꞌataꞌwaram,tepyꞌataꞌwaramũ,ũ,0.021898367957137087
oporokwaawiweram,oporokwaawiweramũ,ũ,0.021898367957137087
ajaiwayram,ajaiwayramũ,ũ,0.021898367957137087
mosamam,mosamamũ,ũ,0.021898367957137087
tejemayrũm,tejemayrũmũ,ũ,0.021898367957137087
miam,miamũ,ũ,0.021898367957137087
ywyapiweram,ywyapiweramũ,ũ,0.021898367957137087
munarũnam,munarũnamũ,ũ,0.021898367957137087
jeapyteꞌrarim,jeapyteꞌrarimũ,ũ,0.021898367957137087
renam,renamũ,ũ,0.021898367957137087
pejekuꞌiram,pejekuꞌiramũ,ũ,0.021898367957137087
juapekagũ,juapekagũũ,ũ,0.021898367957137087
jeparuerowiariweram,jeparuerowiariweramũ,ũ,0.021898367957137087
epytunam,epytunamũ,ũ,0.021898367957137087
ꞌwyriararetereteram,ꞌwyriararetereteramũ,ũ,0.021898367957137087
eapyoram,eapyoramũ,ũ,0.021898367957137087
mogoawam,mogoawamũ,ũ,0.021898367957137087
wyjapetegam,wyjapetegamũ,ũ,0.021898367957137087
kuꞌemam,kuꞌemamũ,ũ,0.021898367957137087
moporowykyaukaawam,moporowykyaukaawamũ,ũ,0.021898367957137087
wewiawam,wewiawamũ,ũ,0.021898367957137087
muorypawam,muorypawamũ,ũ,0.021898367957137087
poromuorywiweram,poromuorywiweramũ,ũ,0.021898367957137087
janererekwaram,janererekwaramũ,ũ,0.021898367957137087
iapoareꞌemam,iapoareꞌemamũ,ũ,0.021898367957137087
ejesagesageram,ejesagesageramũ,ũ,0.021898367957137087
oꞌmearũeꞌemam,oꞌmearũeꞌemamũ,ũ,0.021898367957137087
renũjam,renũjamũ,ũ,0.021898367957137087
nẽnũꞌjãawam,nẽnũꞌjãawamũ,ũ,0.021898367957137087
ereman,eremanũ,ũ,0.021898367957137087
ypykokaram,ypykokaramũ,ũ,0.021898367957137087
jekaruaram,jekaruaramũ,ũ,0.021898367957137087
neapyoweram,neapyoweramũ,ũ,0.021898367957137087
ruapꞌawam,ruapꞌawamũ,ũ,0.021898367957137087
tejaꞌyram,tejaꞌyramũ,ũ,0.021898367957137087
fuakaram,fuakaramũ,ũ,0.021898367957137087
jarejuagam,jarejuagamũ,ũ,0.021898367957137087
pejeparuenuwiweram,pejeparuenuwiweramũ,ũ,0.021898367957137087
afuram,afuramũ,ũ,0.021898367957137087
rerowiaarareteram,rerowiaarareteramũ,ũ,0.021898367957137087
wopeyjam,wopeyjamũ,ũ,0.021898367957137087
janereaꞌaawam,janereaꞌaawamũ,ũ,0.021898367957137087
jekaꞌaranũ,jekaꞌaranũũ,ũ,0.021898367957137087
otewereteram,otewereteramũ,ũ,0.021898367957137087
jemiꞌwareꞌemam,jemiꞌwareꞌemamũ,ũ,0.021898367957137087
moiawam,moiawamũ,ũ,0.021898367957137087
omogytaweꞌemam,omogytaweꞌemamũ,ũ,0.021898367957137087
ꞌwyrianaꞌnĩnam,ꞌwyrianaꞌnĩnamũ,ũ,0.021898367957137087
mogyaram,mogyaramũ,ũ,0.021898367957137087
ajamuawam,ajamuawamũ,ũ,0.021898367957137087
pejeporomonoweram,pejeporomonoweramũ,ũ,0.021898367957137087
pãjẽꞌokawam,pãjẽꞌokawamũ,ũ,0.021898367957137087
pyapaawam,pyapaawamũ,ũ,0.021898367957137087
omuorypawam,omuorypawamũ,ũ,0.021898367957137087
jeporomomeꞌuweram,jeporomomeꞌuweramũ,ũ,0.021898367957137087
waiwam,waiwamũ,ũ,0.021898367957137087
najudeuram,najudeuramũ,ũ,0.021898367957137087
piaram,piaramũ,ũ,0.021898367957137087
weweworam,weweworamũ,ũ,0.021898367957137087
erawaram,erawaramũ,ũ,0.021898367957137087
pẽneaꞌaram,pẽneaꞌaramũ,ũ,0.021898367957137087
tejepyriwaram,tejepyriwaramũ,ũ,0.021898367957137087
ojemokaꞌaranũũm,ojemokaꞌaranũũmũ,ũ,0.021898367957137087
kunumĩmeram,kunumĩmeramũ,ũ,0.021898367957137087
janekatuꞌokaram,janekatuꞌokaramũ,ũ,0.021898367957137087
pyykareram,pyykareramũ,ũ,0.021898367957137087
ijawaiwam,ijawaiwamũ,ũ,0.021898367957137087
mewaram,mewaramũ,ũ,0.021898367957137087
ꞌjawerim,ꞌjawerimũ,ũ,0.021898367957137087
tyweawetaꞌeram,tyweawetaꞌeramũ,ũ,0.021898367957137087
tejeaꞌaruꞌjaweꞌemam,tejeaꞌaruꞌjaweꞌemamũ,ũ,0.021898367957137087
pejeporopoariweram,pejeporopoariweramũ,ũ,0.021898367957137087
ojefutarukaawam,ojefutarukaawamũ,ũ,0.021898367957137087
pẽneaꞌaruꞌjaweꞌemam,pẽneaꞌaruꞌjaweꞌemamũ,ũ,0.021898367957137087
otyweꞌemam,otyweꞌemamũ,ũ,0.021898367957137087
imuorypawam,imuorypawamũ,ũ,0.021898367957137087
okurawam,okurawamũ,ũ,0.021898367957137087
naman,namanũ,ũ,0.021898367957137087
poromoryteeweram,poromoryteeweramũ,ũ,0.021898367957137087
mayrũm,mayrũmũ,ũ,0.021898367957137087
ojemuorypawam,ojemuorypawamũ,ũ,0.021898367957137087
peporowykyram,peporowykyramũ,ũ,0.021898367957137087
pejeporogytaram,pejeporogytaramũ,ũ,0.021898367957137087
ojeꞌwyrareteram,ojeꞌwyrareteramũ,ũ,0.021898367957137087
moireꞌemam,moireꞌemamũ,ũ,0.021898367957137087
teayram,teayramũ,ũ,0.021898367957137087
uꞌaram,uꞌaramũ,ũ,0.021898367957137087
ꞌagam,ꞌagamũ,ũ,0.021898367957137087
ojopoaawam,ojopoaawamũ,ũ,0.021898367957137087
jarejeꞌegaiwam,jarejeꞌegaiwamũ,ũ,0.021898367957137087
muareram,muareramũ,ũ,0.021898367957137087
oreruwareteram,oreruwareteramũ,ũ,0.021898367957137087
aramueram,aramueramũ,ũ,0.021898367957137087
akuꞌiram,akuꞌiramũ,ũ,0.021898367957137087
aranuweꞌemam,aranuweꞌemamũ,ũ,0.021898367957137087
maꞌeꞌawam,maꞌeꞌawamũ,ũ,0.021898367957137087
ꞌwawam,ꞌwawamũ,ũ,0.021898367957137087
nekiꞌyram,nekiꞌyramũ,ũ,0.021898367957137087
ꞌjawam,ꞌjawamũ,ũ,0.021898367957137087
ojasiꞌyꞌwarim,ojasiꞌyꞌwarimũ,ũ,0.021898367957137087
pẽporomutaawam,pẽporomutaawamũ,ũ,0.021898367957137087
repyaawam,repyaawamũ,ũ,0.021898367957137087
naperam,naperamũ,ũ,0.021898367957137087
weapyoꞌiram,weapyoꞌiramũ,ũ,0.021898367957137087
omowowogam,omowowogamũ,ũ,0.021898367957137087
kũimaꞌeeteram,kũimaꞌeeteramũ,ũ,0.021898367957137087
pigeꞌemam,pigeꞌemamũ,ũ,0.021898367957137087
orekuꞌiram,orekuꞌiramũ,ũ,0.021898367957137087
nanuaram,nanuaramũ,ũ,0.021898367957137087
jeparuesagiweram,jeparuesagiweramũ,ũ,0.021898367957137087
erowiaram,erowiaramũ,ũ,0.021898367957137087
ejemuaẽmiweram,ejemuaẽmiweramũ,ũ,0.021898367957137087
jeporomutaram,jeporomutaramũ,ũ,0.021898367957137087
momeꞌwawam,momeꞌwawamũ,ũ,0.021898367957137087
tesir,tesirũ,ũ,0.021898367957137087
apygam,apygamũ,ũ,0.021898367957137087
wesagam,wesagamũ,ũ,0.021898367957137087
onemam,onemamũ,ũ,0.021898367957137087
esaukaaweꞌemam,esaukaaweꞌemamũ,ũ,0.021898367957137087
eneremiꞌuramam,eneremiꞌuramamũ,ũ,0.021898367957137087
remimũꞌẽmeram,remimũꞌẽmeramũ,ũ,0.021898367957137087
ijukapyram,ijukapyramũ,ũ,0.021898367957137087
ityar,ityarũ,ũ,0.021898367957137087
oypytunaiwuuram,oypytunaiwuuramũ,ũ,0.021898367957137087
pejejemimunewam,pejejemimunewamũ,ũ,0.021898367957137087
enũinaram,enũinaramũ,ũ,0.021898367957137087
