stems,words,sufix,freq
neápoli,neápolis,s,0.00991570395776965
sei,seis,s,0.00991570395776965
jesu,jesus,s,0.00991570395776965
anfípoli,anfípolis,s,0.00991570395776965
hieriápoli,hieriápolis,s,0.00991570395776965
kilometro,kilometros,s,0.00991570395776965
serie,series,s,0.00991570395776965
sila,silas,s,0.00991570395776965
clopa,clopas,s,0.00991570395776965
pentecoste,pentecostes,s,0.00991570395776965
ártema,ártemas,s,0.00991570395776965
pilato,pilatos,s,0.00991570395776965
emaú,emaús,s,0.00991570395776965
abia,abias,s,0.00991570395776965
filipo,filipos,s,0.00991570395776965
hermógene,hermógenes,s,0.00991570395776965
barjesu,barjesus,s,0.00991570395776965
có,cós,s,0.00991570395776965
juda,judas,s,0.00991570395776965
geraçõe,gerações,s,0.00991570395776965
isaía,isaías,s,0.00991570395776965
jambre,jambres,s,0.00991570395776965
mateu,mateus,s,0.00991570395776965
samo,samos,s,0.00991570395776965
emudupmubararaktupfilipo,emudupmubararaktupfilipos,s,0.00991570395776965
baraquia,baraquias,s,0.00991570395776965
boanerge,boanerges,s,0.00991570395776965
epafra,epafras,s,0.00991570395776965
doi,dois,s,0.00991570395776965
satnaá,satnaás,s,0.00991570395776965
teuda,teudas,s,0.00991570395776965
dema,demas,s,0.00991570395776965
bon,bons,s,0.00991570395776965
cleopa,cleopas,s,0.00991570395776965
dorca,dorcas,s,0.00991570395776965
moisé,moisés,s,0.00991570395776965
taverna,tavernas,s,0.00991570395776965
matia,matias,s,0.00991570395776965
eno,enos,s,0.00991570395776965
judá,judás,s,0.00991570395776965
tiberíade,tiberíades,s,0.00991570395776965
marco,marcos,s,0.00991570395776965
jeconia,jeconias,s,0.00991570395776965
matatia,matatias,s,0.00991570395776965
porto,portos,s,0.00991570395776965
patmo,patmos,s,0.00991570395776965
assô,assôs,s,0.00991570395776965
estáqui,estáquis,s,0.00991570395776965
herode,herodes,s,0.00991570395776965
uria,urias,s,0.00991570395776965
estéfana,estéfanas,s,0.00991570395776965
uzia,uzias,s,0.00991570395776965
u,us,s,0.00991570395776965
diótrefe,diótrefes,s,0.00991570395776965
zacaria,zacarias,s,0.00991570395776965
atena,atenas,s,0.00991570395776965
nicópoli,nicópolis,s,0.00991570395776965
iscariote,iscariotes,s,0.00991570395776965
