stems,words,sufix,freq
xu,xu³,³,0.10581340504513015
lut2sa,lut2sa³,³,0.10581340504513015
le,le³,³,0.10581340504513015
khi,khi³,³,0.10581340504513015
nh,nh³,³,0.10581340504513015
jan,jan³,³,0.10581340504513015
nau,nau³,³,0.10581340504513015
khot3sxã,khot3sxã³,³,0.10581340504513015
txan,txan³,³,0.10581340504513015
bet3fa,bet3fa³,³,0.10581340504513015
hau,hau³,³,0.10581340504513015
tot1jah,tot1jah³,³,0.10581340504513015
lxin,lxin³,³,0.10581340504513015
yat1tã,yat1tã³,³,0.10581340504513015
sa2tẽ,sa2tẽ³,³,0.10581340504513015
hũx1sxã,hũx1sxã³,³,0.10581340504513015
un,un³,³,0.10581340504513015
kxit1sxã,kxit1sxã³,³,0.10581340504513015
tẽ,tẽ³,³,0.10581340504513015
hũx1ti,hũx1ti³,³,0.10581340504513015
xit3ã,xit3ã³,³,0.10581340504513015
sal,sal³,³,0.10581340504513015
sxaun,sxaun³,³,0.10581340504513015
bu,bu³,³,0.10581340504513015
sot1sxã,sot1sxã³,³,0.10581340504513015
sut1sa,sut1sa³,³,0.10581340504513015
son,son³,³,0.10581340504513015
moi,moi³,³,0.10581340504513015
yai,yai³,³,0.10581340504513015
hya,hya³,³,0.10581340504513015
nhĩn,nhĩn³,³,0.10581340504513015
hit1jah,hit1jah³,³,0.10581340504513015
lha,lha³,³,0.10581340504513015
sot3nxa,sot3nxa³,³,0.10581340504513015
hex1to,hex1to³,³,0.10581340504513015
ã,ã³,³,0.10581340504513015
nxẽ,nxẽ³,³,0.10581340504513015
tai,tai³,³,0.10581340504513015
khaiiiiiix1nxe,khaiiiiiix1nxe³,³,0.10581340504513015
yxu,yxu³,³,0.10581340504513015
nx2to,nx2to³,³,0.10581340504513015
xau,xau³,³,0.10581340504513015
ha,ha³,³,0.10581340504513015
sin,sin³,³,0.10581340504513015
thin,thin³,³,0.10581340504513015
hũ,hũ³,³,0.10581340504513015
bõns,bõns³,³,0.10581340504513015
h,h³,³,0.10581340504513015
lot3jah,lot3jah³,³,0.10581340504513015
hat1txi,hat1txi³,³,0.10581340504513015
khãun,khãun³,³,0.10581340504513015
wã,wã³,³,0.10581340504513015
yxãn,yxãn³,³,0.10581340504513015
naf3ta,naf3ta³,³,0.10581340504513015
kri,kri³,³,0.10581340504513015
jut3su,jut3su³,³,0.10581340504513015
hain,hain³,³,0.10581340504513015
bri,bri³,³,0.10581340504513015
jũx1ju,jũx1ju³,³,0.10581340504513015
sa,sa³,³,0.10581340504513015
lhxã,lhxã³,³,0.10581340504513015
waun,waun³,³,0.10581340504513015
khaix1yah,khaix1yah³,³,0.10581340504513015
vo,vo³,³,0.10581340504513015
ai,ai³,³,0.10581340504513015
kwa,kwa³,³,0.10581340504513015
lãn,lãn³,³,0.10581340504513015
lyxau,lyxau³,³,0.10581340504513015
fim1ka,fim1ka³,³,0.10581340504513015
hit1jau,hit1jau³,³,0.10581340504513015
pãn,pãn³,³,0.10581340504513015
ũh,ũh³,³,0.10581340504513015
xain,xain³,³,0.10581340504513015
t1te,t1te³,³,0.10581340504513015
lxah,lxah³,³,0.10581340504513015
lxĩ,lxĩ³,³,0.10581340504513015
khaix1nx2ti,khaix1nx2ti³,³,0.10581340504513015
nxi,nxi³,³,0.10581340504513015
wãx3txi,wãx3txi³,³,0.10581340504513015
hah,hah³,³,0.10581340504513015
nhũn,nhũn³,³,0.10581340504513015
jut3sxan,jut3sxan³,³,0.10581340504513015
hxan,hxan³,³,0.10581340504513015
vah,vah³,³,0.10581340504513015
hi,hi³,³,0.10581340504513015
is,is³,³,0.10581340504513015
pat2mo,pat2mo³,³,0.10581340504513015
nat3ton,nat3ton³,³,0.10581340504513015
sxã,sxã³,³,0.10581340504513015
lot3te,lot3te³,³,0.10581340504513015
oh,oh³,³,0.10581340504513015
jas2pe,jas2pe³,³,0.10581340504513015
wet1txa,wet1txa³,³,0.10581340504513015
weh,weh³,³,0.10581340504513015
o,o³,³,0.10581340504513015
yũt1jau,yũt1jau³,³,0.10581340504513015
lut1ta,lut1ta³,³,0.10581340504513015
haik1ka,haik1ka³,³,0.10581340504513015
ris,ris³,³,0.10581340504513015
nx2nã,nx2nã³,³,0.10581340504513015
khot3te,khot3te³,³,0.10581340504513015
thi,thi³,³,0.10581340504513015
txẽ,txẽ³,³,0.10581340504513015
x3nxẽn,x3nxẽn³,³,0.10581340504513015
tu,tu³,³,0.10581340504513015
tũn,tũn³,³,0.10581340504513015
nĩn,nĩn³,³,0.10581340504513015
yxaun,yxaun³,³,0.10581340504513015
kex3nũ,kex3nũ³,³,0.10581340504513015
kĩ,kĩ³,³,0.10581340504513015
x3ka,x3ka³,³,0.10581340504513015
xã,xã³,³,0.10581340504513015
yut3ta,yut3ta³,³,0.10581340504513015
kaix1txa,kaix1txa³,³,0.10581340504513015
lxan,lxan³,³,0.10581340504513015
nã,nã³,³,0.10581340504513015
khãu,khãu³,³,0.10581340504513015
kait1sxã,kait1sxã³,³,0.10581340504513015
nhũ,nhũ³,³,0.10581340504513015
jau,jau³,³,0.10581340504513015
kris2tu,kris2tu³,³,0.10581340504513015
tũ,tũ³,³,0.10581340504513015
kxãn,kxãn³,³,0.10581340504513015
lxih,lxih³,³,0.10581340504513015
x1sxã,x1sxã³,³,0.10581340504513015
ix3ti,ix3ti³,³,0.10581340504513015
nho,nho³,³,0.10581340504513015
hex1yah,hex1yah³,³,0.10581340504513015
sxũ,sxũ³,³,0.10581340504513015
tõ,tõ³,³,0.10581340504513015
kẽn,kẽn³,³,0.10581340504513015
hãn,hãn³,³,0.10581340504513015
hãix1tĩh,hãix1tĩh³,³,0.10581340504513015
nhxĩn,nhxĩn³,³,0.10581340504513015
wãt1thxa,wãt1thxa³,³,0.10581340504513015
kxĩh,kxĩh³,³,0.10581340504513015
nxe,nxe³,³,0.10581340504513015
nhe,nhe³,³,0.10581340504513015
lxai,lxai³,³,0.10581340504513015
not3te,not3te³,³,0.10581340504513015
lot3sxã,lot3sxã³,³,0.10581340504513015
wet1sah,wet1sah³,³,0.10581340504513015
hxai,hxai³,³,0.10581340504513015
waix3te,waix3te³,³,0.10581340504513015
es,es³,³,0.10581340504513015
kxẽ,kxẽ³,³,0.10581340504513015
it3sxã,it3sxã³,³,0.10581340504513015
t3ja,t3ja³,³,0.10581340504513015
lax3ku,lax3ku³,³,0.10581340504513015
kxai,kxai³,³,0.10581340504513015
bet3sa,bet3sa³,³,0.10581340504513015
rẽ,rẽ³,³,0.10581340504513015
lxu,lxu³,³,0.10581340504513015
nhau,nhau³,³,0.10581340504513015
net3hxa,net3hxa³,³,0.10581340504513015
lon,lon³,³,0.10581340504513015
lhan,lhan³,³,0.10581340504513015
txã,txã³,³,0.10581340504513015
nũt1sxã,nũt1sxã³,³,0.10581340504513015
yo,yo³,³,0.10581340504513015
lhon,lhon³,³,0.10581340504513015
nũt3sxã,nũt3sxã³,³,0.10581340504513015
klo,klo³,³,0.10581340504513015
syãn,syãn³,³,0.10581340504513015
yex1nx2ti,yex1nx2ti³,³,0.10581340504513015
nxẽn,nxẽn³,³,0.10581340504513015
nxĩn,nxĩn³,³,0.10581340504513015
sut1ju,sut1ju³,³,0.10581340504513015
kih,kih³,³,0.10581340504513015
hen,hen³,³,0.10581340504513015
nyhah,nyhah³,³,0.10581340504513015
kat3jah,kat3jah³,³,0.10581340504513015
hex1jau,hex1jau³,³,0.10581340504513015
bra,bra³,³,0.10581340504513015
khaix1jau,khaix1jau³,³,0.10581340504513015
lot3tãu,lot3tãu³,³,0.10581340504513015
lxe,lxe³,³,0.10581340504513015
lhen,lhen³,³,0.10581340504513015
hit1tãu,hit1tãu³,³,0.10581340504513015
sil,sil³,³,0.10581340504513015
nai,nai³,³,0.10581340504513015
syex1nx2na,syex1nx2na³,³,0.10581340504513015
lhi,lhi³,³,0.10581340504513015
wha,wha³,³,0.10581340504513015
kat1sa,kat1sa³,³,0.10581340504513015
sax3nũn,sax3nũn³,³,0.10581340504513015
nxex3jah,nxex3jah³,³,0.10581340504513015
kax3jah,kax3jah³,³,0.10581340504513015
tra,tra³,³,0.10581340504513015
fah,fah³,³,0.10581340504513015
wĩ,wĩ³,³,0.10581340504513015
lain,lain³,³,0.10581340504513015
lan,lan³,³,0.10581340504513015
yhe,yhe³,³,0.10581340504513015
ãu,ãu³,³,0.10581340504513015
ũ3yho,ũ3yho³,³,0.10581340504513015
bel,bel³,³,0.10581340504513015
x1ta,x1ta³,³,0.10581340504513015
hex1yxah,hex1yxah³,³,0.10581340504513015
yxah,yxah³,³,0.10581340504513015
yxaut3jah,yxaut3jah³,³,0.10581340504513015
hex1toh,hex1toh³,³,0.10581340504513015
trũ,trũ³,³,0.10581340504513015
teh,teh³,³,0.10581340504513015
lot3tã,lot3tã³,³,0.10581340504513015
pri,pri³,³,0.10581340504513015
mar,mar³,³,0.10581340504513015
x3khai,x3khai³,³,0.10581340504513015
ih,ih³,³,0.10581340504513015
khaix1te,khaix1te³,³,0.10581340504513015
lat1sxã,lat1sxã³,³,0.10581340504513015
kax3ti,kax3ti³,³,0.10581340504513015
lxot3sxã,lxot3sxã³,³,0.10581340504513015
kaix1jau,kaix1jau³,³,0.10581340504513015
yãx1ju,yãx1ju³,³,0.10581340504513015
in,in³,³,0.10581340504513015
thet3xai,thet3xai³,³,0.10581340504513015
the,the³,³,0.10581340504513015
khaix1ki,khaix1ki³,³,0.10581340504513015
yit1tãu,yit1tãu³,³,0.10581340504513015
khot3sa,khot3sa³,³,0.10581340504513015
mo,mo³,³,0.10581340504513015
lhxi,lhxi³,³,0.10581340504513015
fe,fe³,³,0.10581340504513015
pẽ,pẽ³,³,0.10581340504513015
taut3to,taut3to³,³,0.10581340504513015
ru,ru³,³,0.10581340504513015
khaix1thĩ,khaix1thĩ³,³,0.10581340504513015
win,win³,³,0.10581340504513015
kot3sa,kot3sa³,³,0.10581340504513015
khaix1nxe,khaix1nxe³,³,0.10581340504513015
tax3tai,tax3tai³,³,0.10581340504513015
kaix1nx2ti,kaix1nx2ti³,³,0.10581340504513015
ra,ra³,³,0.10581340504513015
nx2tho,nx2tho³,³,0.10581340504513015
sai,sai³,³,0.10581340504513015
he,he³,³,0.10581340504513015
sut1tã,sut1tã³,³,0.10581340504513015
hit1tai,hit1tai³,³,0.10581340504513015
kin,kin³,³,0.10581340504513015
petrosi,petrosi³,³,0.10581340504513015
rep2ta,rep2ta³,³,0.10581340504513015
yu,yu³,³,0.10581340504513015
txuh,txuh³,³,0.10581340504513015
tĩn,tĩn³,³,0.10581340504513015
hxat3jah,hxat3jah³,³,0.10581340504513015
sain,sain³,³,0.10581340504513015
pru,pru³,³,0.10581340504513015
lin,lin³,³,0.10581340504513015
kxũn,kxũn³,³,0.10581340504513015
põn,põn³,³,0.10581340504513015
txu,txu³,³,0.10581340504513015
nx2na,nx2na³,³,0.10581340504513015
hoh,hoh³,³,0.10581340504513015
lxot3jah,lxot3jah³,³,0.10581340504513015
yũt1sxã,yũt1sxã³,³,0.10581340504513015
x3ta,x3ta³,³,0.10581340504513015
lẽ,lẽ³,³,0.10581340504513015
thĩn,thĩn³,³,0.10581340504513015
yũ,yũ³,³,0.10581340504513015
kat1tẽ,kat1tẽ³,³,0.10581340504513015
khu,khu³,³,0.10581340504513015
nu,nu³,³,0.10581340504513015
sau,sau³,³,0.10581340504513015
xit3sxã,xit3sxã³,³,0.10581340504513015
hait2ta,hait2ta³,³,0.10581340504513015
sũh,sũh³,³,0.10581340504513015
lhxot1sxã,lhxot1sxã³,³,0.10581340504513015
ju,ju³,³,0.10581340504513015
lut1txa,lut1txa³,³,0.10581340504513015
kxe,kxe³,³,0.10581340504513015
yĩx1to,yĩx1to³,³,0.10581340504513015
lhxa,lhxa³,³,0.10581340504513015
nain,nain³,³,0.10581340504513015
pu,pu³,³,0.10581340504513015
hẽt1sxã,hẽt1sxã³,³,0.10581340504513015
nxex3sxã,nxex3sxã³,³,0.10581340504513015
si,si³,³,0.10581340504513015
xin,xin³,³,0.10581340504513015
kxã,kxã³,³,0.10581340504513015
txih,txih³,³,0.10581340504513015
nx3txi,nx3txi³,³,0.10581340504513015
yax3sxã,yax3sxã³,³,0.10581340504513015
tet1ju,tet1ju³,³,0.10581340504513015
yũt1se,yũt1se³,³,0.10581340504513015
hex1nxe,hex1nxe³,³,0.10581340504513015
wet1sxã,wet1sxã³,³,0.10581340504513015
lĩ,lĩ³,³,0.10581340504513015
ĩh,ĩh³,³,0.10581340504513015
tã,tã³,³,0.10581340504513015
nhãu,nhãu³,³,0.10581340504513015
toh,toh³,³,0.10581340504513015
lhai,lhai³,³,0.10581340504513015
wet1jah,wet1jah³,³,0.10581340504513015
kit3sxa,kit3sxa³,³,0.10581340504513015
kax3nũ,kax3nũ³,³,0.10581340504513015
wet1ja,wet1ja³,³,0.10581340504513015
not3ja,not3ja³,³,0.10581340504513015
nxo,nxo³,³,0.10581340504513015
lũ,lũ³,³,0.10581340504513015
kat1ju,kat1ju³,³,0.10581340504513015
yen,yen³,³,0.10581340504513015
yãn,yãn³,³,0.10581340504513015
ar,ar³,³,0.10581340504513015
wãx3te,wãx3te³,³,0.10581340504513015
nxãi,nxãi³,³,0.10581340504513015
lot3sa,lot3sa³,³,0.10581340504513015
nx2nxãn,nx2nxãn³,³,0.10581340504513015
kah,kah³,³,0.10581340504513015
lho,lho³,³,0.10581340504513015
sã,sã³,³,0.10581340504513015
sĩ,sĩ³,³,0.10581340504513015
nih,nih³,³,0.10581340504513015
txin,txin³,³,0.10581340504513015
tri,tri³,³,0.10581340504513015
luh,luh³,³,0.10581340504513015
tẽx1jãx1sxã,tẽx1jãx1sxã³,³,0.10581340504513015
nut1sxã,nut1sxã³,³,0.10581340504513015
kxãi,kxãi³,³,0.10581340504513015
me,me³,³,0.10581340504513015
ĩn,ĩn³,³,0.10581340504513015
nx2ti,nx2ti³,³,0.10581340504513015
lau,lau³,³,0.10581340504513015
tuh,tuh³,³,0.10581340504513015
khan,khan³,³,0.10581340504513015
lhain,lhain³,³,0.10581340504513015
khũn,khũn³,³,0.10581340504513015
nxãu,nxãu³,³,0.10581340504513015
thãi,thãi³,³,0.10581340504513015
n,n³,³,0.10581340504513015
wahx3nxe,wahx3nxe³,³,0.10581340504513015
xũn,xũn³,³,0.10581340504513015
mu,mu³,³,0.10581340504513015
sto,sto³,³,0.10581340504513015
hãix1tãu,hãix1tãu³,³,0.10581340504513015
nhũx3sxã,nhũx3sxã³,³,0.10581340504513015
lot3ju,lot3ju³,³,0.10581340504513015
nãn,nãn³,³,0.10581340504513015
jã,jã³,³,0.10581340504513015
jen,jen³,³,0.10581340504513015
thet3sxã,thet3sxã³,³,0.10581340504513015
tãu,tãu³,³,0.10581340504513015
naun,naun³,³,0.10581340504513015
hxat3ja,hxat3ja³,³,0.10581340504513015
tot1sxã,tot1sxã³,³,0.10581340504513015
lxãi,lxãi³,³,0.10581340504513015
tun,tun³,³,0.10581340504513015
lãi,lãi³,³,0.10581340504513015
su,su³,³,0.10581340504513015
yxuh,yxuh³,³,0.10581340504513015
ko,ko³,³,0.10581340504513015
nxai,nxai³,³,0.10581340504513015
po,po³,³,0.10581340504513015
tãi,tãi³,³,0.10581340504513015
her,her³,³,0.10581340504513015
it3te,it3te³,³,0.10581340504513015
nah,nah³,³,0.10581340504513015
lhã,lhã³,³,0.10581340504513015
xah,xah³,³,0.10581340504513015
kat3sxã,kat3sxã³,³,0.10581340504513015
lyau,lyau³,³,0.10581340504513015
jet3se,jet3se³,³,0.10581340504513015
nũt3jau,nũt3jau³,³,0.10581340504513015
hẽx3thĩ,hẽx3thĩ³,³,0.10581340504513015
yah,yah³,³,0.10581340504513015
yãx1jah,yãx1jah³,³,0.10581340504513015
hẽt1tũ,hẽt1tũ³,³,0.10581340504513015
yhen,yhen³,³,0.10581340504513015
ẽn,ẽn³,³,0.10581340504513015
yxa,yxa³,³,0.10581340504513015
hit3the,hit3the³,³,0.10581340504513015
tẽx1ta,tẽx1ta³,³,0.10581340504513015
lah,lah³,³,0.10581340504513015
jo,jo³,³,0.10581340504513015
hũx3ti,hũx3ti³,³,0.10581340504513015
kax3ta,kax3ta³,³,0.10581340504513015
wãi,wãi³,³,0.10581340504513015
lot3nx2ti,lot3nx2ti³,³,0.10581340504513015
tros,tros³,³,0.10581340504513015
wait3san,wait3san³,³,0.10581340504513015
lxã,lxã³,³,0.10581340504513015
yxaut3ju,yxaut3ju³,³,0.10581340504513015
nhit1sxã,nhit1sxã³,³,0.10581340504513015
khaix1ne,khaix1ne³,³,0.10581340504513015
wahx3yah,wahx3yah³,³,0.10581340504513015
se,se³,³,0.10581340504513015
yhu,yhu³,³,0.10581340504513015
khaix1nxẽn,khaix1nxẽn³,³,0.10581340504513015
sxi,sxi³,³,0.10581340504513015
tes,tes³,³,0.10581340504513015
tet1sũ,tet1sũ³,³,0.10581340504513015
lxoh,lxoh³,³,0.10581340504513015
khaix1na,khaix1na³,³,0.10581340504513015
jut3sxa,jut3sxa³,³,0.10581340504513015
t1sxã,t1sxã³,³,0.10581340504513015
we,we³,³,0.10581340504513015
ba,ba³,³,0.10581340504513015
wahx3xah,wahx3xah³,³,0.10581340504513015
hu,hu³,³,0.10581340504513015
wxe,wxe³,³,0.10581340504513015
wxaix3te,wxaix3te³,³,0.10581340504513015
kxũ,kxũ³,³,0.10581340504513015
nhot3sa,nhot3sa³,³,0.10581340504513015
thet3ja,thet3ja³,³,0.10581340504513015
kot3xai,kot3xai³,³,0.10581340504513015
kaix1ti,kaix1ti³,³,0.10581340504513015
kxau,kxau³,³,0.10581340504513015
la,la³,³,0.10581340504513015
nahx2nxe,nahx2nxe³,³,0.10581340504513015
txen,txen³,³,0.10581340504513015
pro,pro³,³,0.10581340504513015
nyha,nyha³,³,0.10581340504513015
yxau,yxau³,³,0.10581340504513015
nx2nxa,nx2nxa³,³,0.10581340504513015
sax3ne,sax3ne³,³,0.10581340504513015
fro,fro³,³,0.10581340504513015
yãx1ya,yãx1ya³,³,0.10581340504513015
yat1sxã,yat1sxã³,³,0.10581340504513015
bah,bah³,³,0.10581340504513015
hit1sxã,hit1sxã³,³,0.10581340504513015
thxa,thxa³,³,0.10581340504513015
jxah,jxah³,³,0.10581340504513015
tet1sxã,tet1sxã³,³,0.10581340504513015
tit3sxã,tit3sxã³,³,0.10581340504513015
khon,khon³,³,0.10581340504513015
kã,kã³,³,0.10581340504513015
kaix1sa,kaix1sa³,³,0.10581340504513015
nxãn,nxãn³,³,0.10581340504513015
kaix1jah,kaix1jah³,³,0.10581340504513015
taut3ton,taut3ton³,³,0.10581340504513015
kat1ti,kat1ti³,³,0.10581340504513015
pre,pre³,³,0.10581340504513015
kxah,kxah³,³,0.10581340504513015
txon,txon³,³,0.10581340504513015
txau,txau³,³,0.10581340504513015
txãn,txãn³,³,0.10581340504513015
va,va³,³,0.10581340504513015
thet3to,thet3to³,³,0.10581340504513015
tah,tah³,³,0.10581340504513015
mah,mah³,³,0.10581340504513015
sat2jah,sat2jah³,³,0.10581340504513015
xãi,xãi³,³,0.10581340504513015
kat1txa,kat1txa³,³,0.10581340504513015
yãx1thĩn,yãx1thĩn³,³,0.10581340504513015
hit1nx2ti,hit1nx2ti³,³,0.10581340504513015
sut1ti,sut1ti³,³,0.10581340504513015
yãu,yãu³,³,0.10581340504513015
lxo,lxo³,³,0.10581340504513015
lyah,lyah³,³,0.10581340504513015
khot3txa,khot3txa³,³,0.10581340504513015
khaix1ko,khaix1ko³,³,0.10581340504513015
kot3jau,kot3jau³,³,0.10581340504513015
te,te³,³,0.10581340504513015
hit1xai,hit1xai³,³,0.10581340504513015
xĩh,xĩh³,³,0.10581340504513015
lẽn,lẽn³,³,0.10581340504513015
yit1sxã,yit1sxã³,³,0.10581340504513015
nĩx3ton,nĩx3ton³,³,0.10581340504513015
ya,ya³,³,0.10581340504513015
txi,txi³,³,0.10581340504513015
u,u³,³,0.10581340504513015
t3sxã,t3sxã³,³,0.10581340504513015
tet2tĩh,tet2tĩh³,³,0.10581340504513015
nx3ti,nx3ti³,³,0.10581340504513015
waix3sxã,waix3sxã³,³,0.10581340504513015
wait1sxã,wait1sxã³,³,0.10581340504513015
nxon,nxon³,³,0.10581340504513015
nhĩ,nhĩ³,³,0.10581340504513015
ha2kxai,ha2kxai³,³,0.10581340504513015
nx3tho,nx3tho³,³,0.10581340504513015
a2ka,a2ka³,³,0.10581340504513015
e,e³,³,0.10581340504513015
kãi,kãi³,³,0.10581340504513015
wxãn,wxãn³,³,0.10581340504513015
lhxan,lhxan³,³,0.10581340504513015
wet1thĩ,wet1thĩ³,³,0.10581340504513015
yĩ,yĩ³,³,0.10581340504513015
thet3thxa,thet3thxa³,³,0.10581340504513015
x3ti,x3ti³,³,0.10581340504513015
nũn,nũn³,³,0.10581340504513015
kwẽ,kwẽ³,³,0.10581340504513015
hxã,hxã³,³,0.10581340504513015
kot3te,kot3te³,³,0.10581340504513015
it3ti,it3ti³,³,0.10581340504513015
sẽn,sẽn³,³,0.10581340504513015
tro,tro³,³,0.10581340504513015
nãut1sxã,nãut1sxã³,³,0.10581340504513015
saun,saun³,³,0.10581340504513015
kuh,kuh³,³,0.10581340504513015
eu,eu³,³,0.10581340504513015
khot3jah,khot3jah³,³,0.10581340504513015
ox3ja,ox3ja³,³,0.10581340504513015
kax3khai,kax3khai³,³,0.10581340504513015
whaut3ta,whaut3ta³,³,0.10581340504513015
txãx1ti,txãx1ti³,³,0.10581340504513015
yãx1nxe,yãx1nxe³,³,0.10581340504513015
xit3jau,xit3jau³,³,0.10581340504513015
tot3sxã,tot3sxã³,³,0.10581340504513015
tain,tain³,³,0.10581340504513015
wi,wi³,³,0.10581340504513015
