stems,words,sufix,freq
neápoli,neápolis,s,0.0054598676191010866
kadeu,kadeus,s,0.0054598676191010866
jesu,jesus,s,0.0054598676191010866
anfípoli,anfípolis,s,0.0054598676191010866
serie,series,s,0.0054598676191010866
sila,silas,s,0.0054598676191010866
hinajesu,hinajesus,s,0.0054598676191010866
clopa,clopas,s,0.0054598676191010866
eufrate,eufrates,s,0.0054598676191010866
pentecoste,pentecostes,s,0.0054598676191010866
ártema,ártemas,s,0.0054598676191010866
messia,messias,s,0.0054598676191010866
pilato,pilatos,s,0.0054598676191010866
emaú,emaús,s,0.0054598676191010866
abia,abias,s,0.0054598676191010866
ora,oras,s,0.0054598676191010866
filipo,filipos,s,0.0054598676191010866
hermógene,hermógenes,s,0.0054598676191010866
có,cós,s,0.0054598676191010866
juda,judas,s,0.0054598676191010866
baimanadeu,baimanadeus,s,0.0054598676191010866
isaía,isaías,s,0.0054598676191010866
jambre,jambres,s,0.0054598676191010866
hierápoli,hierápolis,s,0.0054598676191010866
radeu,radeus,s,0.0054598676191010866
mateu,mateus,s,0.0054598676191010866
samo,samos,s,0.0054598676191010866
baraquia,baraquias,s,0.0054598676191010866
boanerge,boanerges,s,0.0054598676191010866
decápoli,decápolis,s,0.0054598676191010866
oliveira,oliveiras,s,0.0054598676191010866
epafra,epafras,s,0.0054598676191010866
doi,dois,s,0.0054598676191010866
oathijudeu,oathijudeus,s,0.0054598676191010866
teuda,teudas,s,0.0054598676191010866
ijoavinideu,ijoavinideus,s,0.0054598676191010866
dema,demas,s,0.0054598676191010866
cleopa,cleopas,s,0.0054598676191010866
cefa,cefas,s,0.0054598676191010866
naçõe,nações,s,0.0054598676191010866
dorca,dorcas,s,0.0054598676191010866
kadadeu,kadadeus,s,0.0054598676191010866
moisé,moisés,s,0.0054598676191010866
kidideu,kidideus,s,0.0054598676191010866
hidajudeu,hidajudeus,s,0.0054598676191010866
matia,matias,s,0.0054598676191010866
eno,enos,s,0.0054598676191010866
tiberíade,tiberíades,s,0.0054598676191010866
akadideu,akadideus,s,0.0054598676191010866
marco,marcos,s,0.0054598676191010866
jeconia,jeconias,s,0.0054598676191010866
matatia,matatias,s,0.0054598676191010866
hidadeu,hidadeus,s,0.0054598676191010866
patmo,patmos,s,0.0054598676191010866
assô,assôs,s,0.0054598676191010866
estáqui,estáquis,s,0.0054598676191010866
uria,urias,s,0.0054598676191010866
estéfana,estéfanas,s,0.0054598676191010866
zelote,zelotes,s,0.0054598676191010866
ahovarinideu,ahovarinideus,s,0.0054598676191010866
uzia,uzias,s,0.0054598676191010866
judeu,judeus,s,0.0054598676191010866
diótrefe,diótrefes,s,0.0054598676191010866
idadeu,idadeus,s,0.0054598676191010866
avakadideu,avakadideus,s,0.0054598676191010866
zacaria,zacarias,s,0.0054598676191010866
atena,atenas,s,0.0054598676191010866
nicópoli,nicópolis,s,0.0054598676191010866
iscariote,iscariotes,s,0.0054598676191010866
barrabá,barrabás,s,0.0054598676191010866
deuse,deuses,s,0.0054598676191010866
amó,amós,s,0.0054598676191010866
damári,damáris,s,0.0054598676191010866
duzento,duzentos,s,0.0054598676191010866
vihirikijudeu,vihirikijudeus,s,0.0054598676191010866
barsabá,barsabás,s,0.0054598676191010866
zena,zenas,s,0.0054598676191010866
milhõe,milhões,s,0.0054598676191010866
kabadanideu,kabadanideus,s,0.0054598676191010866
elia,elias,s,0.0054598676191010866
elima,elimas,s,0.0054598676191010866
qui,quis,s,0.0054598676191010866
pafo,pafos,s,0.0054598676191010866
herme,hermes,s,0.0054598676191010866
herma,hermas,s,0.0054598676191010866
sarde,sardes,s,0.0054598676191010866
olimpa,olimpas,s,0.0054598676191010866
arideu,arideus,s,0.0054598676191010866
aná,anás,s,0.0054598676191010866
lísia,lísias,s,0.0054598676191010866
quilômetro,quilômetros,s,0.0054598676191010866
arijesu,arijesus,s,0.0054598676191010866
rode,rodes,s,0.0054598676191010866
jona,jonas,s,0.0054598676191010866
vakadideu,vakadideus,s,0.0054598676191010866
hinideu,hinideus,s,0.0054598676191010866
luca,lucas,s,0.0054598676191010866
quilo,quilos,s,0.0054598676191010866
moninajesu,moninajesus,s,0.0054598676191010866
júnia,júnias,s,0.0054598676191010866
jesusjesu,jesusjesus,s,0.0054598676191010866
aloé,aloés,s,0.0054598676191010866
pere,peres,s,0.0054598676191010866
anania,ananias,s,0.0054598676191010866
bikahikideu,bikahikideus,s,0.0054598676191010866
amovaniavakadideu,amovaniavakadideus,s,0.0054598676191010866
metro,metros,s,0.0054598676191010866
nicodemo,nicodemos,s,0.0054598676191010866
josia,josias,s,0.0054598676191010866
caifá,caifás,s,0.0054598676191010866
kodideu,kodideus,s,0.0054598676191010866
jane,janes,s,0.0054598676191010866
darikijudeu,darikijudeus,s,0.0054598676191010866
pármena,pármenas,s,0.0054598676191010866
da,das,s,0.0054598676191010866
deu,deus,s,0.0054598676191010866
areta,aretas,s,0.0054598676191010866
hojudeu,hojudeus,s,0.0054598676191010866
karajomihideu,karajomihideus,s,0.0054598676191010866
ezequia,ezequias,s,0.0054598676191010866
manassé,manassés,s,0.0054598676191010866
sóstene,sóstenes,s,0.0054598676191010866
colosso,colossos,s,0.0054598676191010866
antipa,antipas,s,0.0054598676191010866
jahakijudeu,jahakijudeus,s,0.0054598676191010866
enéia,enéias,s,0.0054598676191010866
quio,quios,s,0.0054598676191010866
pátroba,pátrobas,s,0.0054598676191010866
apele,apeles,s,0.0054598676191010866
athijesu,athijesus,s,0.0054598676191010866
sataná,satanás,s,0.0054598676191010866
bikahikide,bikahikideus,us,0.004836202206003077
ijoavinide,ijoavinideus,us,0.004836202206003077
kade,kadeus,us,0.004836202206003077
jes,jesus,us,0.004836202206003077
vihirikijude,vihirikijudeus,us,0.004836202206003077
amovaniavakadide,amovaniavakadideus,us,0.004836202206003077
avakadide,avakadideus,us,0.004836202206003077
hinajes,hinajesus,us,0.004836202206003077
kabadanide,kabadanideus,us,0.004836202206003077
kadade,kadadeus,us,0.004836202206003077
kodide,kodideus,us,0.004836202206003077
kidide,kidideus,us,0.004836202206003077
darikijude,darikijudeus,us,0.004836202206003077
de,deus,us,0.004836202206003077
hidajude,hidajudeus,us,0.004836202206003077
hojude,hojudeus,us,0.004836202206003077
karajomihide,karajomihideus,us,0.004836202206003077
athijes,athijesus,us,0.004836202206003077
akadide,akadideus,us,0.004836202206003077
aride,arideus,us,0.004836202206003077
hidade,hidadeus,us,0.004836202206003077
arijes,arijesus,us,0.004836202206003077
baimanade,baimanadeus,us,0.004836202206003077
rade,radeus,us,0.004836202206003077
mate,mateus,us,0.004836202206003077
ahovarinide,ahovarinideus,us,0.004836202206003077
vakadide,vakadideus,us,0.004836202206003077
jahakijude,jahakijudeus,us,0.004836202206003077
jude,judeus,us,0.004836202206003077
hinide,hinideus,us,0.004836202206003077
moninajes,moninajesus,us,0.004836202206003077
idade,idadeus,us,0.004836202206003077
jesusjes,jesusjesus,us,0.004836202206003077
oathijude,oathijudeus,us,0.004836202206003077
hinaje,hinajesus,sus,0.0021416945691912583
je,jesus,sus,0.0021416945691912583
arije,arijesus,sus,0.0021416945691912583
moninaje,moninajesus,sus,0.0021416945691912583
athije,athijesus,sus,0.0021416945691912583
jesusje,jesusjesus,sus,0.0021416945691912583
hinaj,hinajesus,esus,0.0021416945691912583
j,jesus,esus,0.0021416945691912583
arij,arijesus,esus,0.0021416945691912583
moninaj,moninajesus,esus,0.0021416945691912583
athij,athijesus,esus,0.0021416945691912583
jesusj,jesusjesus,esus,0.0021416945691912583
kaj,kajo,o,0.00811318203179811
paul,paulo,o,0.00811318203179811
hahaviarab,hahaviarabo,o,0.00811318203179811
binak,binako,o,0.00811318203179811
adultéri,adultério,o,0.00811318203179811
vikhaj,vikhajo,o,0.00811318203179811
ikosok,ikosoko,o,0.00811318203179811
saul,saulo,o,0.00811318203179811
erast,erasto,o,0.00811318203179811
vakab,vakabo,o,0.00811318203179811
bilasit,bilasito,o,0.00811318203179811
vamorob,vamorobo,o,0.00811318203179811
roboã,roboão,o,0.00811318203179811
