stems,words,sufix,freq
atorment,atormenta,a,0.024998127283273854
cuz,cuza,a,0.024998127283273854
apedrej,apedreja,a,0.024998127283273854
estrebari,estrebaria,a,0.024998127283273854
vazi,vazia,a,0.024998127283273854
gostari,gostaria,a,0.024998127283273854
elogiad,elogiada,a,0.024998127283273854
corrompi,corrompia,a,0.024998127283273854
acab,acaba,a,0.024998127283273854
convivênci,convivência,a,0.024998127283273854
descans,descansa,a,0.024998127283273854
crucific,crucifica,a,0.024998127283273854
for,fora,a,0.024998127283273854
hor,hora,a,0.024998127283273854
jog,joga,a,0.024998127283273854
afiad,afiada,a,0.024998127283273854
apanh,apanha,a,0.024998127283273854
saíd,saída,a,0.024998127283273854
salgad,salgada,a,0.024998127283273854
franquez,franqueza,a,0.024998127283273854
sagrad,sagrada,a,0.024998127283273854
levantav,levantava,a,0.024998127283273854
conversav,conversava,a,0.024998127283273854
prejudic,prejudica,a,0.024998127283273854
lavadeir,lavadeira,a,0.024998127283273854
curari,curaria,a,0.024998127283273854
alelui,aleluia,a,0.024998127283273854
venh,venha,a,0.024998127283273854
faix,faixa,a,0.024998127283273854
honest,honesta,a,0.024998127283273854
inteligênci,inteligência,a,0.024998127283273854
outr,outra,a,0.024998127283273854
salmon,salmona,a,0.024998127283273854
sext,sexta,a,0.024998127283273854
iduméi,iduméia,a,0.024998127283273854
visit,visita,a,0.024998127283273854
govern,governa,a,0.024998127283273854
arrud,arruda,a,0.024998127283273854
enganad,enganada,a,0.024998127283273854
própri,própria,a,0.024998127283273854
patriarc,patriarca,a,0.024998127283273854
caud,cauda,a,0.024998127283273854
diabólic,diabólica,a,0.024998127283273854
trifen,trifena,a,0.024998127283273854
agitav,agitava,a,0.024998127283273854
persegui,perseguia,a,0.024998127283273854
passageir,passageira,a,0.024998127283273854
espalhav,espalhava,a,0.024998127283273854
mirr,mirra,a,0.024998127283273854
imperfeit,imperfeita,a,0.024998127283273854
rom,roma,a,0.024998127283273854
calúni,calúnia,a,0.024998127283273854
esperav,esperava,a,0.024998127283273854
vitorios,vitoriosa,a,0.024998127283273854
brot,brota,a,0.024998127283273854
arrumad,arrumada,a,0.024998127283273854
lavad,lavada,a,0.024998127283273854
vinh,vinha,a,0.024998127283273854
tessalônic,tessalônica,a,0.024998127283273854
sepultur,sepultura,a,0.024998127283273854
tent,tenta,a,0.024998127283273854
torn,torna,a,0.024998127283273854
bols,bolsa,a,0.024998127283273854
afirmav,afirmava,a,0.024998127283273854
invej,inveja,a,0.024998127283273854
avarez,avareza,a,0.024998127283273854
grandez,grandeza,a,0.024998127283273854
ficari,ficaria,a,0.024998127283273854
palmeir,palmeira,a,0.024998127283273854
fech,fecha,a,0.024998127283273854
merecedor,merecedora,a,0.024998127283273854
ajud,ajuda,a,0.024998127283273854
mesopotâmi,mesopotâmia,a,0.024998127283273854
precis,precisa,a,0.024998127283273854
causari,causaria,a,0.024998127283273854
lam,lama,a,0.024998127283273854
poderi,poderia,a,0.024998127283273854
perfumad,perfumada,a,0.024998127283273854
prag,praga,a,0.024998127283273854
sacudid,sacudida,a,0.024998127283273854
despes,despesa,a,0.024998127283273854
reconheci,reconhecia,a,0.024998127283273854
tinh,tinha,a,0.024998127283273854
