a,jo,apa,ap,yna,ky,m,ynan,kyn,ja,re,ta,aseta,t,j
,,,,,,,,,,,,,,jẽ
,,,,,,,,,,,,,tẽ,
,,,,,,me,,,,,,,,
,,,,,,,,,,,,,te,
,,,,,,,,,,,tae,,,
ae,,,,,,,,,,,,,,
ase,,,,,,,,,,,,,,
,,,,,kyse,,,,,,,,,
,,,,,,mase,,,,,,,,
,,,,,,,ynanase,,,,,,,
,,,,,,,,,,,,,,jezu
,,,,,kyrixtu,,,,,,,,,
,,,,,,,,,,,,,ty,
,,apary,,,,,,,,,,,,
,,,,ynapyry,,,,,,,,,,
,,,,,,mo,,,,,,,,
,,,,,,,,,,,tao,,,
ao,,,,,,,,,,,,,,
,,,,,,,,,,,,,,jo
,,,apo,,,,,,,,,,,
,,,,,,,,,,,,,to,
,,,,,,,,,jako,,,,,
,joko,,,,,,,,,,,,,
,,,,,,,,,,,,,,joko
,,,,,,,,,,,,,toko,
,,,apoko,,,,,,,,,,,
ai,,,,,,,,,,,,,,
,,,,,,,,,jawi,,,,,
,,,,,,,,,,rewi,,,,
,,,,,,,,,,,tawi,,,
,,,,,,,,,,,,asetawi,,
,,,,,,,,,,,,,tawi,
,,,,,,,,,,,,,,jawi
ame,,,,,,,,,,,,,,
,,,,,,mexine,,,,,,,,
,,,,,,,ynanexine,,,,,,,
,,,,,,,,kynexine,,,,,,
,,,,ynanexine,,,,,,,,,,
,,,,,kynexine,,,,,,,,,
,joão,,,,,,,,,,,,,
,,,,,,,,,,,,,tão,
arão,,,,,,,,,,,,,,
,jorão,,,,,,,,,,,,,
,,aparão,,,,,,,,,,,,
,,,aparão,,,,,,,,,,,
aparão,,,,,,,,,,,,,,
,,,,,,ma,,,,,,,,
,,,,,,,ynana,,,,,,,
,,,,,kyropa,,,,,,,,,
ake,,,,,,,,,,,,,,
,,,,,,make,,,,,,,,
,,,,,,,,,,,taro,,,
,,,,,,mokyro,,,,,,,,
,,,,,,,,,,,,,,jako
,,,,,,,,kynako,,,,,,
,,,,,,,,,,,,,,jumy
,,,,,,,,,,,,,tumy,
,jota,,,,,,,,,,,,,
,,,,,,,,,,,,,,juta
,,,,,,mõ,,,,,,,,
,,,,,,,,,,,,,tõ,
,,,apõ,,,,,,,,,,,
aõ,,,,,,,,,,,,,,
,,,,,,,,,,,,,torõ,
,,,,,,,,,jakorõ,,,,,
akorõ,,,,,,,,,,,,,,
,,,,,,,,,,,takorõ,,,
,,,,,,maro,,,,,,,,
,,,,,,,,,,,,,taro,
,,apakõ,,,,,,,,,,,,
,,,,,,,,,,,,,,jẽkõ
,,,,ynara,,,,,,,,,,
,,,,,,mara,,,,,,,,
,,,,,,,,,,,tamara,,,
,,,,,,,,,,,,,tamara,
,joze,,,,,,,,,,,,,
,,,,,,,,,,repe,,,,
,jope,,,,,,,,,,,,,
amõ,,,,,,,,,,,,,,
ati,,,,,,,,,,,,,,
,,,,,,,,,,,,,,jese
,,,,,,,,,,,,,tia,
,,,apia,,,,,,,,,,,
,,,,,,,,,,,,,,joão
apia,,,,,,,,,,,,,,
,,,,,,,,,,reza,,,,
aza,,,,,,,,,,,,,,
,josapa,,,,,,,,,,,,,
,,,,,,,,,,,,,,josapa
,,,,,,,,,,,,,,jorão
azia,,,,,,,,,,,,,,
,jotão,,,,,,,,,,,,,
atão,,,,,,,,,,,,,,
,,,,,,,,,,,,,,jotão
akazi,,,,,,,,,,,,,,
,,,,ynanase,,,,,,,,,,
,,,,,,manase,,,,,,,,
,josia,,,,,,,,,,,,,
,,,,,,,,,,,,,,josia
,,,apeu,,,,,,,,,,,
,joeu,,,,,,,,,,,,,
apeu,,,,,,,,,,,,,,
,,,apiuti,,,,,,,,,,,
apiuti,,,,,,,,,,,,,,
,,,,,,,,,jaĩ,,,,,
akĩ,,,,,,,,,,,,,,
,,,,,,moro,,,,,,,,
,,,aporo,,,,,,,,,,,
,,,,,,,,,,,,,toro,
azoro,,,,,,,,,,,,,,
,,,,,,,,,,,,,tã,
,,,,,,mã,,,,,,,,
,,,,,,matã,,,,,,,,
,,,,,,,,,,,,,,joze
,,,,,,maria,,,,,,,,
,,,,,,,,,,,,,tomo,
,,apakomo,,,,,,,,,,,,
,,,,,,,,,,,,,,jẽkomo
,,,,,,morara,,,,,,,,
,,,,,,,,,,,,,tuase,
,,,apuru,,,,,,,,,,,
,jokuru,,,,,,,,,,,,,
akuru,,,,,,,,,,,,,,
,,,,,,mũkuru,,,,,,,,
,,,apakõ,,,,,,,,,,,
apakõ,,,,,,,,,,,,,,
,,,,,,moe,,,,,,,,
,,,,,,mose,,,,,,,,
,,,apose,,,,,,,,,,,
,,,,,,,,,,,,,toto,
,,,apoto,,,,,,,,,,,
,,,,ynana,,,,,,,,,,
,jona,,,,,,,,,,,,,
ana,,,,,,,,,,,,,,
,,,,,,,,,,,,,,jona
,,apano,,,,,,,,,,,,
ano,,,,,,,,,,,,,,
,,,apoino,,,,,,,,,,,
,,,,,,moino,,,,,,,,
apo,,,,,,,,,,,,,,
,,,,,,,,,,,tapo,,,
,,,apõpo,,,,,,,,,,,
,,,,,,mame,,,,,,,,
,,,,,,,,,,,,,,jepe
,,,,,,,,,,,,,tome,
,,,,,kymaro,,,,,,,,,
,,,,,,,,,jamaro,,,,,
amaro,,,,,,,,,,,,,,
ayra,,,,,,,,,,,,,,
,,,,,,,,,,,,,tao,
,,apatao,,,,,,,,,,,,
ahtao,,,,,,,,,,,,,,
,,,,,,,,,jahtao,,,,,
,,,,,,,,,,,tahtao,,,
,,,,,,,,,,,,,,jahtao
,,,,,,,,,,,,,tahtao,
,,,,,,,,,,,,,tẽme,
ahse,,,,,,,,,,,,,,
,,,,,,,,,,,,,toehse,
,,,,,,,,,,rehpo,,,,
,,,,,,,,,,,,,tuzenu,
