nh,anh,panh,inh,n,an,pan,in,ix,a,h,pa,pah,p,mẽhp,s,wr,ixwr,awr,je,w,ixw,aw,jej,ak,k,amn,amnep,ahpa,xa,ko,nhỹ,amne,am,j
,,,,,,,,,,,pam,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,amnepêm,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,amnepêm,,
,,,,,,,,,,,,,,,,,,,,,,,,,,amnepêm,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,amnepêm,
,,,,,,,,,amnepêm,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,as,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,pas,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,jejus,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,akus,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,jejus,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,jejus
,,,,,,,,,,,,,,,,,,,,,,,,,kris,,,,,,,,,
,,,,nã,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,awrã,,,,,,,,,,,,,,,,
,,,,,anã,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,amã,
,,,,,,,,,,hã,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,panã,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,anhmã,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,inhmã,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,amã,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,pamã,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,ahparmã,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,xarmã,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kormã,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nhỹrmã,,,
,,,,,,,,,,,,,,,,,,,,,,,,,kormã,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,ka,,,,,,,,,
,,,,,,,,,aa,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,na,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,pa,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ja
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ama,
,,,,,,,,,,,paa,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,ixwa,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,wa,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,sika,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,pika,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,ahpar,,,,,,
,,,,,,,,,,,par,,,,,,,,,,,,,,,,,,,,,,,
