ab,abr,bal,a,w,my,m,kyd,wa,ma,mya,kyda,da,le,d
,,,,,,,,wao,,,,,,
,,,,,,,,,,,kydato,,,
,,,ato,,,,,,,,,,,
,,,,,,,,wato,,,,,,
,,,,,,,,,mato,,,,,
,,,,,,,,,,,,,,dâ
,,,,,,,kydâ,,,,,,,
,,,agâ,,,,,,,,,,,
,,,,wâgâ,,,,,,,,,,
,,,,,,,,,,,,,,de
,,,,wi,,,,,,,,,,
,,,,,,,,,,,,davi,,
,,,,,,,,,,,,,levi,
,,,,,,,,,,,,,,davi
,,,am,,,,,,,,,,,
,,,,,,,,wakâwâm,,,,,,
,,,,,,,,,makâwâm,,,,,
,,,akâwâm,,,,,,,,,,,
,,,,,,,,,,myakâwâm,,,,
,,,,,,,,,,,kydakâwâm,,,
,,,,wakâwâm,,,,,,,,,,
,,,,,myakâwâm,,,,,,,,,
,,,,,,makâwâm,,,,,,,,
,,,,,,,kydakâwâm,,,,,,,
,,,alâ,,,,,,,,,,,
,,,,,,,,,,,,,lelâ,
,,,,,,,,,,,,,leão,
,abraão,,,,,,,,,,,,,
,,balaão,,,,,,,,,,,,
abraão,,,,,,,,,,,,,,
,,,abraão,,,,,,,,,,,
,,,,,,,,warâ,,,,,,
,,,,,,,,,,myarâ,,,,
,,,arâ,,,,,,,,,,,
,,,,warâ,,,,,,,,,,
,,,,,myarâ,,,,,,,,,
,,,,,,,,,,,kydamudo,,,
,,,,,,,kydamudo,,,,,,,
,,,atuly,,,,,,,,,,,
,,,,,,,,,,,,daviram,,
,,,,,,,,,,,,,,daviram
,,,,,mydy,,,,,,,,,
,,,,,,ma,,,,,,,,
,,,,,,,,,,myara,,,,
,,,ara,,,,,,,,,,,
,,,asemo,,,,,,,,,,,
,,,arão,,,,,,,,,,,
,,,amom,,,,,,,,,,,
,,,aho,,,,,,,,,,,
,,,,,,merâ,,,,,,,,
,,,,,,modoram,,,,,,,,
,,,,,myn,,,,,,,,,
,,,,,,,,,,myan,,,,
,,,,won,,,,,,,,,,
,,,,,,mon,,,,,,,,
,,,,,,,,,maate,,,,,
abias,,,,,,,,,,,,,,
,,,,,,mâkâ,,,,,,,,
,,,abias,,,,,,,,,,,
,,,asa,,,,,,,,,,,
,,,acaz,,,,,,,,,,,
,,,,,,,,,manassés,,,,,
,,,,wodolâ,,,,,,,,,,
,,,,,,modolâ,,,,,,,,
,,,,,,,,,mawyly,,,,,
,,,,,,,,,,,kydawyly,,,
,,,,,,,,wawyly,,,,,,
,,,awyly,,,,,,,,,,,
,,,,,,,,,,,,,leme,
,,,,,,,,,,,kydadaholy,,,
,,,,,,,,,madaholy,,,,,
,,,adaholy,,,,,,,,,,,
,,,awylymo,,,,,,,,,,,
,,,,,,,,,mawylymo,,,,,
,,,anaxilâ,,,,,,,,,,,
,,,,,mygue,,,,,,,,,
,,,atoem,,,,,,,,,,,
,,,,wodo,,,,,,,,,,
,,,,,,modo,,,,,,,,
abel,,,,,,,,,,,,,,
,,,abel,,,,,,,,,,,
,,,akaemo,,,,,,,,,,,
,,,,,mydâpa,,,,,,,,,
,,,adylymo,,,,,,,,,,,
abiúde,,,,,,,,,,,,,,
,,,abiúde,,,,,,,,,,,
,,,aquim,,,,,,,,,,,
,,,azor,,,,,,,,,,,
,,,,,,,,,matã,,,,,
,,,,,,matã,,,,,,,,
,,,,,,myn,,,,,,,,
,,,,,,,,,,myani,,,,
,,,ani,,,,,,,,,,,
,,,,,,,,,,,kydani,,,
,,,,,,,,,maria,,,,,
,,,,,,maria,,,,,,,,
,,,,,,mery,,,,,,,,
,,,,wânkâ,,,,,,,,,,
,,,,,,,,,mawânkâ,,,,,
,,,,,,mawânkâ,,,,,,,,
,,,,,,mygue,,,,,,,,
,,,,,,,,wakeim,,,,,,
,,,,,,messias,,,,,,,,
,,,,,,,,,,,,,,deus
,,,aze,,,,,,,,,,,
,,,,,,,,,,,kydaze,,,
,,,,,myze,,,,,,,,,
,,,,,,,,,,myaze,,,,
,,,,,,,,,maze,,,,,
,,,,,myguely,,,,,,,,,
,,,aguely,,,,,,,,,,,
,,,,,,,,,,,,,,donro
,,,agonro,,,,,,,,,,,
,,,,,,,,,,,,,,domodo
,,,ane,,,,,,,,,,,
,,,,wâne,,,,,,,,,,
,,,augue,,,,,,,,,,,
,,,adamyly,,,,,,,,,,,
,,,,,,moisés,,,,,,,,
,,,atuduo,,,,,,,,,,,
,,,,,,,,,,,,,,doze
,,,,,,,,wakeze,,,,,,
,,,apyra,,,,,,,,,,,
,,,,,,,,,,,kydapyra,,,
,,,aiehoze,,,,,,,,,,,
,,,anra,,,,,,,,,,,
,,,,,mynra,,,,,,,,,
,,,awâkâ,,,,,,,,,,,
,,,,,,,,wakeduo,,,,,,
,,,aituo,,,,,,,,,,,
,,,,,,mituo,,,,,,,,
,,,,wituo,,,,,,,,,,
,,,,,myara,,,,,,,,,
,,,,widyly,,,,,,,,,,
,,,,,,midyly,,,,,,,,
,,,aidyly,,,,,,,,,,,
,,,awidyly,,,,,,,,,,,
,,,,,,,,wayam,,,,,,
,,,,,,,,,,myanze,,,,
,,,,,,,,,,,,,lelâlâ,
,,,,,,,,waunlo,,,,,,
,,,aunlo,,,,,,,,,,,
,,,,waunlo,,,,,,,,,,
,,,,,,,,wakely,,,,,,
,,,,wakely,,,,,,,,,,
,,,anju,,,,,,,,,,,
,,,,,,myze,,,,,,,,
,,,adamyze,,,,,,,,,,,
,,,agâlâ,,,,,,,,,,,
,,,aralâ,,,,,,,,,,,
,,,aedyly,,,,,,,,,,,
,,,aukâ,,,,,,,,,,,
,,,,,,,,,matoram,,,,,
,,,atoram,,,,,,,,,,,
,,,,,,,,watoram,,,,,,
,,,,,,,,,,,kydatoram,,,
,,,azely,,,,,,,,,,,
,,,,,mygueduo,,,,,,,,,
,,,agueduo,,,,,,,,,,,
,,,,wixi,,,,,,,,,,
,,,,,mydâlymo,,,,,,,,,
,,,aini,,,,,,,,,,,
,,,ana,,,,,,,,,,,
,,,agueze,,,,,,,,,,,
