da,le,pe,ja,ju,p,j,i,bal,is,bar,abr,a,ab,ij,d,k,c,jóg,ijóg,kr,krẽ,jó,ijó,cr
,,,,,,jesus,,,,,,,,,,,,,,,,,,
,,,,,,jo,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,ko,,,,,,,,
,,,,,,,,,,,,,,,do,,,,,,,,,
,,,,,,,,,iso,,,,,,,,,,,,,,,
,,,,,po,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,ijo,,,,,,,,,,
,,,,justo,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,cristo
,,,,,,,,,,,,,,,,,cristo,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,ijóg,
,,,,,,,,,,,,,,,,,,,,,krẽg,,,
,,,,,,,,,,,,ag,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,jóg,,
,,,,,,,,,,,,,,,,,,,,króg,,,,
,,,,,,jóg,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,ijóg,,,,,,,,,,
,,,,,,,,,isóg,,,,,,,,,,,,,,,
,,,,,,,ijóg,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,jógꞌjóg,,,,,,
,,,,,,,,,,,,,,,,,,,ijógꞌjóg,,,,,
,,,,,,,,,,,,,,,,,,,,,,jógꞌjóg,,
,,,,,,,,,,,,,,,,,,,,,,,ijógꞌjóg,
,,,,,,jógꞌjóg,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,ijógꞌjóg,,,,,,,,,,
,,,,,,je,,,,,,,,,,,,,,,,,,
,,,,,pe,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,kre,,,,
,,,,,,,,,,,,,,,,ke,,,,,,,,
,,,,,,,,,ise,,,,,,,,,,,,,,,
,,,,,,,in,,,,,,,,,,,,,,,,,
,,,jan,,,,,,,,,,,,,,,,,,,,,
,,,,jun,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,kán,,,,,,,,
,,,,,,jẽ,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,krẽ,,,,
,,,,,pẽ,,,,,,,,,,,,,,,,,,,
,,,,,,jỹ,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,krỹ,,,,
,,,,,,,,,isỹ,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,kỹ,,,,,,,,
,,,,,,,,,,,,,,,,,,,,kri,,,,
,,,,,,,,,,,,,,,,ki,,,,,,,,
,,,,,pi,,,,,,,,,,,,,,,,,,,
,lei,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,ji,,,,,,,,,,,,,,,,,,
davi,,,,,,,,,,,,,,,,,,,,,,,,
,levi,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,davi,,,,,,,,,
,,,,,,,,,,,,,,,,krẽ,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,krẽꞌkrẽ,,,
,,,,,,,,,,,,,,,,,,,,krẽꞌkrẽ,,,,
,,,,,,,,,,,,,,,,krẽꞌkrẽ,,,,,,,,
,,,,,pĩ,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,krĩ,,,,
,,,,,,,,,isĩ,,,,,,,,,,,,,,,
,,,,,pão,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,abraão,,,,,,,,,,,,,
,,,,,,,,balaão,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,abraão,,,,,,,,,,,
,,,,,,,,,,,,abraão,,,,,,,,,,,,
,,,,,,,,balaque,,,,,,,,,,,,,,,,
,,,,,,,,,isaque,,,,,,,,,,,,,,,
,,,,,,,,,,baraque,,,,,,,,,,,,,,
,,,,,,,isaque,,,,,,,,,,,,,,,,,
,,,,,pan,,,,,,,,,,,,,,,,,,,
,,,,,,jan,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,kan,,,,,,,,
,,,,,,jó,,,,,,,,,,,,,,,,,,
,,,,,pó,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,kó,,,,,,,,
,,,jacó,,,,,,,,,,,,,,,,,,,,,
,,,,,,jacó,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,ká,,,,,,,,
,,,,,,já,,,,,,,,,,,,,,,,,,
,,,,judá,,,,,,,,,,,,,,,,,,,,
,,,,,,judá,,,,,,,,,,,,,,,,,,
,,,,,,jé,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,ijé,,,,,,,,,,
,,,,,,,,,isé,,,,,,,,,,,,,,,
,,,,,pé,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,kré,,,,
,,,,,,,,,,,,,,,,ké,,,,,,,,
,,,,,,,,,,,,,,,,kré,,,,,,,,
,,peres,,,,,,,,,,,,,,,,,,,,,,
,,,,,peres,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,aba,,,,,,,,,,,
,,,,,pa,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,da,,,,,,,,,
,,,,,,,,,,,,,,,,ka,,,,,,,,
,,,,,,ja,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,kra,,,,
,,,,,,,,,isa,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,kra,,,,,,,,
,,,,,pra,,,,,,,,,,,,,,,,,,,
,,,,,,,,,isũ,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,ijũ,,,,,,,,,,
,,,,,,jũ,,,,,,,,,,,,,,,,,,
,,,,,prũ,,,,,,,,,,,,,,,,,,,
,,,,jur,,,,,,,,,,,,,,,,,,,,
,,,jar,,,,,,,,,,,,,,,,,,,,,
,,,,,par,,,,,,,,,,,,,,,,,,,
,,,,,,jar,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,kar,,,,,,,,
,,,,,,,,,isar,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,kyn,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,krẽm,,,
,,,,,,,,,,,,arão,,,,,,,,,,,,
,,,,,,,,,,,,amom,,,,,,,,,,,,
,,,,,,,,balde,,,,,,,,,,,,,,,,
,,,,,,,isé,,,,,,,,,,,,,,,,,
,,,,,,jessé,,,,,,,,,,,,,,,,,,
,,,,,pãꞌi,,,,,,,,,,,,,,,,,,,
