ka,tesirũga,ywy,kris,ga,kr,k,kri,da,le,d,a,naa,jepy,enepy,opy,janepy,py,jepyt,enepyt,opyt,janepyt,pyt,nak
,,,,,,kũ,,,,,,,,,,,,,,,,,
,,,,,,,,,,,amũ,,,,,,,,,,,,
,,,,,,,,,,,,,,,opyamũ,,,,,,,,
,,,,,,,,,,,,,,,,,pyi,,,,,,
,,,,,,ki,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,opytu,,,
,,,,,,,,,,,,,,,,,pyu,,,,,,
,,ywyu,,,,,,,,,,,,,,,,,,,,,
,,ywytu,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,opytu,,,,,,,,
,tesirũgatu,,,,,,,,,,,,,,,,,,,,,,
katu,,,,,,,,,,,,,,,,,,,,,,,
,,,kristu,,,,,,,,,,,,,,,,,,,,
,,,,gatu,,,,,,,,,,,,,,,,,,,
,,,,,,,kristu,,,,,,,,,,,,,,,,
,,,,,kristu,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,nakristu
,,,,,,kristu,,,,,,,,,,,,,,,,,
,,ywya,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,opya,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,pyta,
,,,,,,,,,,,,,,enepya,,,,,,,,,
,,,,,,,,,,,,,jepya,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,opyta,,,
,,,,,,,,,,,,,,,,janepya,,,,,,,
,,,,,,,,,,,,,,,,,pya,,,,,,
,,,,,,,,,,,aga,,,,,,,,,,,,
kaga,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,ara,,,,,,,,,,,,
,,ywyra,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,jepytunera,,,,,
,,,,,,,,,,,,,,,,,,,enepytunera,,,,
,,,,,,,,,,,,,,,,,,,,opytunera,,,
,,,,,,,,,,,,,,,,,,,,,janepytunera,,
,,,,,,,,,,,,,,,,,,,,,,pytunera,
,,,,,,,,,,,,,jepytunera,,,,,,,,,,
,,,,,,,,,,,,,,enepytunera,,,,,,,,,
,,,,,,,,,,,,,,,opytunera,,,,,,,,
,,,,,,,,,,,,,,,,janepytunera,,,,,,,
,,,,,,,,,,,,,,,,,pytunera,,,,,,
,,,,,,ko,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,nako
,,,,,,,,,leão,,,,,,,,,,,,,,
,,,,,,,,,,,abraão,,,,,,,,,,,,
,,,,,,,,,,,,naabraão,,,,,,,,,,,
,,,,,,,,davia,,,,,,,,,,,,,,,
,,,,,,,,,,davia,,,,,,,,,,,,,
,,,,,,,,davi,,,,,,,,,,,,,,,
,,,,,,,,,levi,,,,,,,,,,,,,,
,,,,,,,,,,davi,,,,,,,,,,,,,
katua,,,,,,,,,,,,,,,,,,,,,,,
,tesirũgatua,,,,,,,,,,,,,,,,,,,,,,
,,ywytua,,,,,,,,,,,,,,,,,,,,,
,,,kristua,,,,,,,,,,,,,,,,,,,,
,,,,gatua,,,,,,,,,,,,,,,,,,,
,,,,,,,kristua,,,,,,,,,,,,,,,,
,,,,,kristua,,,,,,,,,,,,,,,,,,
,,,,,,kristua,,,,,,,,,,,,,,,,,
,,,,,,kwa,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,naako,,,,,,,,,,,
,,,,,,,,,,,ako,,,,,,,,,,,,
,,,,,,,,,,,ae,,,,,,,,,,,,
,,,,,,,,,,,,naae,,,,,,,,,,,
,,ywyr,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,pym,,,,,,
,,,,,,,,,,,arão,,,,,,,,,,,,
,,,,,,,,,,,,naarão,,,,,,,,,,,
,,,,,,,,,,,,,,,,,pype,,,,,,
,,,,,,,,,,,ape,,,,,,,,,,,,
kasi,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,kasi,,,,,,,,,,,,,,,,,
,,,,,,,,,,,ate,,,,,,,,,,,,
,,,,,,,,,,,ase,,,,,,,,,,,,
,,ywyri,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,pyri,,,,,,
kari,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,kofera,,,,,,,,,,,,,,,,,
,,,,,,,,,,,akou,,,,,,,,,,,,
,,,,,,kyra,,,,,,,,,,,,,,,,,
,,,,,,,,,,,apiasi,,,,,,,,,,,,
,,,,,,,,,,,asa,,,,,,,,,,,,
,,,,gasa,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,atãu,,,,,,,,,,,,
,,,,,,,,,,,,naatãu,,,,,,,,,,,
,,,,,,,,,,,akasi,,,,,,,,,,,,
,,,,,,,,,,,amom,,,,,,,,,,,,
,,,,,,,,,,,,naani,,,,,,,,,,,
,,,,,,,,,,,ay,,,,,,,,,,,,
,,,,,,,,,,,,naay,,,,,,,,,,,
,,,,,,kwy,,,,,,,,,,,,,,,,,
,,,,,,koo,,,,,,,,,,,,,,,,,
,,,,,,,,,,,aroo,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,pyramũ,,,,,,
,,,,,,,,,,,ayramũ,,,,,,,,,,,,
,,,,,,,,,,,apeu,,,,,,,,,,,,
,,,,,,,,,,,apiute,,,,,,,,,,,,
kaĩ,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,akĩ,,,,,,,,,,,,
,,,,,,,,,,,aso,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,opytau,,,
,,,,,,,,,,,,,,,,,pyau,,,,,,
,,,,,,,,,,,awau,,,,,,,,,,,,
,,,,,,kwau,,,,,,,,,,,,,,,,,
,,,,,,,,,,,ana,,,,,,,,,,,,
kana,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,enepytuna,,,,
,,,,,,,,,,,,,,,,,,,,opytuna,,,
,,,,,,,,,,,,,,,,,,jepytuna,,,,,
,,,,,,,,,,,,,,,,,,,,,janepytuna,,
,,,,,,,,,,,,,,,,,,,,,,pytuna,
,,,,,,,,,,,,,,enepytuna,,,,,,,,,
,,,,,,,,,,,,,,,opytuna,,,,,,,,
,,,,,,,,,,,,,jepytuna,,,,,,,,,,
,,,,,,,,,,,,,,,,janepytuna,,,,,,,
,,,,,,,,,,,,,,,,,pytuna,,,,,,
,,,,,,kosi,,,,,,,,,,,,,,,,,
katosi,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,katosi,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,nakue
kama,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,pyteramũ,
,,,,,,,,,,,,naaeramũ,,,,,,,,,,,
,,,,,,,,,,,aeramũ,,,,,,,,,,,,
,,,,,,,,,,,aꞌeramũ,,,,,,,,,,,,
,,,,,,,,,,,,,,,opymĩ,,,,,,,,
,,,,,,,,,,,amĩ,,,,,,,,,,,,
,,,,,,,,,,,,,jepymĩ,,,,,,,,,,
,,,,,,,,,,,,,,,,,pymĩ,,,,,,
,,,,,,,,,,,,,,,,,,,,opytaawa,,,
,,,,,,,,,,,,,,,,,,,,,,pytea,
,,,,,,,,,,,aea,,,,,,,,,,,,
,,,,,,,,,,,,,jepyari,,,,,,,,,,
,,,,,,kari,,,,,,,,,,,,,,,,,
,,,,,,kama,,,,,,,,,,,,,,,,,
,,,,,,,,,,,are,,,,,,,,,,,,
,,,,,,,,,,,aꞌere,,,,,,,,,,,,
,,,,,,kwe,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,nakwe
,,,,,,kunumĩ,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,nakunumĩ
,,,,,,kupe,,,,,,,,,,,,,,,,,
,,,,,,kũi,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,nakoi
katui,,,,,,,,,,,,,,,,,,,,,,,
,,,,gatui,,,,,,,,,,,,,,,,,,,
,,,,,,katui,,,,,,,,,,,,,,,,,
,,,,,,,,,,,ajee,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,pyteri,
,,,,,,,,,,,,,,,,,pyygi,,,,,,
,,,,,,,,,,,aꞌea,,,,,,,,,,,,
,,,,,,,,,,,awi,,,,,,,,,,,,
,,,,,,,,,,,aꞌe,,,,,,,,,,,,
,,,,,,,,,,,apoi,,,,,,,,,,,,
,,,,,,,,,,,,naapoi,,,,,,,,,,,
,,,,,,,,,,,asĩa,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,pyter,
,,,,,,,,,,,,,,,,,,,,,,,nakwara
,,,,,,kwara,,,,,,,,,,,,,,,,,
,,ywyriwara,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,pyriwara,,,,,,
,,,,,,,,,,,,,,,,,,,,,,pytaa,
,,,,,,kuꞌjywa,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,nakuꞌjywa
,,,,,,,,,,,amut,,,,,,,,,,,,
,,,,,,koka,,,,,,,,,,,,,,,,,
kawera,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,pypewara,,,,,,
,,,,,,koromũ,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,pytag,
,,,,,,,,,,,aja,,,,,,,,,,,,
kaja,,,,,,,,,,,,,,,,,,,,,,,
katy,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,katy,,,,,,,,,,,,,,,,,
kanawa,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,amunawa,,,,,,,,,,,,
,,,,,,kũimaꞌe,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,nakũimaꞌe
,,,,,,,,,,,awaw,,,,,,,,,,,,
,,,,,,kwaw,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,pyta,,,,,,
,,,,,,,,,,,ata,,,,,,,,,,,,
,,,,,,,,,,,,,,,opyta,,,,,,,,
,,,,,,,,,,,aata,,,,,,,,,,,,
,,,,,,,,,,,anupa,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,opytuu,,,
,,,,,,kuu,,,,,,,,,,,,,,,,,
,,,,,,,,,,,aꞌi,,,,,,,,,,,,
,,,,,,,,,,,aiꞌi,,,,,,,,,,,,
,,,,,,,,,,,ajaupe,,,,,,,,,,,,
,,,,,,,,,,,aꞌat,,,,,,,,,,,,
,,,,,,,,,,,arajua,,,,,,,,,,,,
,,,,,,,,,,,arakou,,,,,,,,,,,,
,,,,,,,,,,,anupawe,,,,,,,,,,,,
,,,,,,,,,,,aꞌỹi,,,,,,,,,,,,
,,,,,,,,,,,awỹja,,,,,,,,,,,,
,,,,,,,,,,,apo,,,,,,,,,,,,
,,,,,,,,,,,aipo,,,,,,,,,,,,
,,,,,,,,,,,,naaipo,,,,,,,,,,,
,,,,,,kana,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,naamã,,,,,,,,,,,
kaꞌaran,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,kaꞌaran,,,,,,,,,,,,,,,,,
,,,,,,,,,,,agawewi,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,pytea,,,,,,
,,,,,,,,,,,aꞌetea,,,,,,,,,,,,
,,,,,,,,,,,anure,,,,,,,,,,,,
,,,,,,,,,,,,naanure,,,,,,,,,,,
,,,,,,,,,,,,,,,,,pyteramũ,,,,,,
,,,,,,,,,,,aꞌefera,,,,,,,,,,,,
,,,,,,,,,,,aje,,,,,,,,,,,,
,,,,,,,,,,,aꞌje,,,,,,,,,,,,
,,,,,,,,,,,,,,,opytau,,,,,,,,
,,,kristau,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,aime,,,,,,,,,,,,
,,,,,,,,,,,aesak,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,pyaua,,,,,,
,,,,,,kawera,,,,,,,,,,,,,,,,,
,,,,,,kwawa,,,,,,,,,,,,,,,,,
,,,,,,,,,,,awawa,,,,,,,,,,,,
,,,,,,,,,,,aꞌu,,,,,,,,,,,,
,,,,,,,,,,,amomeꞌu,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,pykau,,,,,,
kakau,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,aapa,,,,,,,,,,,,
,,,,,,kweramũ,,,,,,,,,,,,,,,,,
,,,,,,,,,,,arawau,,,,,,,,,,,,
,,,,,,koga,,,,,,,,,,,,,,,,,
,,,,,,kĩꞌĩ,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,pyyka,,,,,,
karaemã,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,karaemã,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,nakaraemã
,,,,,,,,,,,,,,,,,pyyrũ,,,,,,
,,,,,,,,,,,ayrũ,,,,,,,,,,,,
kasig,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,kasig,,,,,,,,,,,,,,,,,
,,,,,,,,,,,afayup,,,,,,,,,,,,
kaweꞌem,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,kaweꞌem,,,,,,,,,,,,,,,,,
,,,,,,,,,,,amutee,,,,,,,,,,,,
,,,,,,,,,,,aya,,,,,,,,,,,,
kaꞌjama,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,kaꞌjama,,,,,,,,,,,,,,,,,
,,,,,,kwet,,,,,,,,,,,,,,,,,
kawet,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,afuewet,,,,,,,,,,,,
,,,,,,,,,,,awauwe,,,,,,,,,,,,
,,,,,,kwap,,,,,,,,,,,,,,,,,
,,,,,,,,,,,akwap,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,pyrauwe,,,,,,
,,,,,,,,,,,,,,,,,pyyrũmũ,,,,,,
,,,,,,kyꞌri,,,,,,,,,,,,,,,,,
,,,,,,kwasiaa,,,,,,,,,,,,,,,,,
,,,,,,,,,,,aꞌjea,,,,,,,,,,,,
,,,,,,,,,,,,naaꞌjea,,,,,,,,,,,
,,,,,,,,,,,amanũ,,,,,,,,,,,,
,,,,,,,,,,,,naamanũ,,,,,,,,,,,
,,,,,,,,,,,akirau,,,,,,,,,,,,
,,,,garireja,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,amono,,,,,,,,,,,,
,,,,,,,,,,,aranuw,,,,,,,,,,,,
,,ywyrasig,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,apoit,,,,,,,,,,,,
,,,,,,,,,,,aetywer,,,,,,,,,,,,
katuꞌoka,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,pytai,
katuꞌok,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,katuꞌok,,,,,,,,,,,,,,,,,
kameru,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,kameru,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,pyterimũ,
,,,,,,,,,,,,,,,,janepyꞌa,,,,,,,
