sime,bal,d,da,le,a,ab,ku,i,o,su,je,kuy,m,ma,cekawẽ,jekawẽ,ekawẽ,om,im,wuyed,mat,cekaw,jekaw,ekaw,cr,ceka,jeka,eka,c,j
,,,,,,,,,,,jesus,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,jesus
,,,,,,,,,,,,,mo,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,co,
,,,,,,,,io,,,,,,,,,,,,,,,,,,,,,,
,,,dao,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,oo,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,jo
,,,,,,,,,,,,,,,,,,,,,,,,,cristo,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cristo,
,,,,,,,,,,,,,,,,jekawẽg,,,,,,,,,,,,,,
,,,,,,,,,,sug,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,og,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,kuyg,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,jeg,,,,,,,,,,,,,,,,,,,
,,,,,,,kug,,,,,,,,,,,,,,,,,,,,,,,
,,,,,ag,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,jekag,,,
,,,,,,,,ig,,,,,,,,,,,,,,,,,,,,,,
,,,dag,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,jẽg
,,,,,,,,,,,,,mẽg,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,imẽg,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,jekawẽg,,,,,,,
,,,,,awẽg,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,jekawẽg,,,
,,,,,,,,,,,jewẽg,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,muwẽg,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,omuwẽg,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,imuwẽg,,,,,,,,,,,
,,,,,ap,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,ekap,,
,,,,,,,,,op,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,jekap,,,
,,,,,,,,ip,,,,,,,,,,,,,,,,,,,,,,
,,dup,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,otup,,,,,,,,,,,,,,,,,,,,,
,,,,,atup,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,cekawẽntup,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,jekawẽntup,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,ekawẽntup,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,cekawẽntup,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,jekawẽntup,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,ekawẽntup,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,cekawẽntup,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,jekawẽntup,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,ekawẽntup,,
,,,,,,,,,,,,,,,,,,,,wuyedeus,,,,,,,,,,
,,deus,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,mateus,,,,,,,,,
,,,,,,,,,,,,,,mateus,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,mateus,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cũ,
,,,,,,abũ,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,ayũ,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,oyũ,,,,,,,,,,,,,,,,,,,,,
