ly,y,k,t,h,lo,ko,yxau,so,no
,,,,h³,,,,,
,,,,,,ko³,,,
,,,,,,,yxau³,,
,,,,,lo³,,,,
,,,,,,,,,no³
,,,,,,,,so³,
,ye³,,,,,,,,
,,,te³,,,,,,
,,ke³,,,,,,,
,,,,he³,,,,,
,,,,,,ko²,,,
,,,,,,,,,no²
,,,,h²,,,,,
,,,,,lo²,,,,
,,,,,,,yxau²,,
,,,,,,,,so²,
,yu²,,,,,,,,
,,,tu²,,,,,,
,,ku²,,,,,,,
,,,,hah³,,,,,
,,,tah³,,,,,,
lyah³,,,,,,,,,
,yah³,,,,,,,,
,,kah³,,,,,,,
lya²,,,,,,,,,
,,,ta²,,,,,,
,,ka²,,,,,,,
,ya²,,,,,,,,
,,,,ha²,,,,,
,,,tĩ³,,,,,,
,,kĩ³,,,,,,,
,,,,hĩ³,,,,,
,yĩ³,,,,,,,,
,,,tu³,,,,,,
,,ku³,,,,,,,
,,,,hu³,,,,,
,yu³,,,,,,,,
,yãu³,,,,,,,,
,,,tãu³,,,,,,
,,kãu³,,,,,,,
,,,,,,,,so¹,
,,,,,,ko¹,,,
,,,,,lo¹,,,,
,,,,h¹,,,,,
,,,,,,,yxau¹,,
,,,,,,,,,no¹
,,,tu¹,,,,,,
,,ku¹,,,,,,,
,,,,hu¹,,,,,
,yu¹,,,,,,,,
,yi²,,,,,,,,
,,ki²,,,,,,,
,,,ti²,,,,,,
,,,,hi²,,,,,
,,kai²,,,,,,,
,,,,hai²,,,,,
,,,tai²,,,,,,
,yai²,,,,,,,,
,yau¹,,,,,,,,
,,,tau¹,,,,,,
,,kau³,,,,,,,
,,,,hau³,,,,,
,yau³,,,,,,,,
,,,tau³,,,,,,
lyau³,,,,,,,,,
,,,,,,,,son³,
,,,,,,,,,non³
,,,,,,,yxaun³,,
,,,,,lon³,,,,
,,,,,,kon³,,,
,,,tãn³,,,,,,
,yãn³,,,,,,,,
,,kãn³,,,,,,,
,,,,hãn³,,,,,
,,,txa²,,,,,,
,yxa²,,,,,,,,
,,,,hxa²,,,,,
,,kxa²,,,,,,,
,yi³,,,,,,,,
,,,,hi³,,,,,
,,ki³,,,,,,,
,,,ti³,,,,,,
,,,txe³,,,,,,
,,kxe³,,,,,,,
,,ka¹,,,,,,,
,ya¹,,,,,,,,
,,,,ha¹,,,,,
,,,ta¹,,,,,,
lyah¹,,,,,,,,,
,yah¹,,,,,,,,
,,,tah¹,,,,,,
,,kah¹,,,,,,,
,yã¹,,,,,,,,
,,kã¹,,,,,,,
,,,tã¹,,,,,,
,,,,hã¹,,,,,
,,,tũ,,,,,,
,,kũ,,,,,,,
,,,,hũ,,,,,
,yũ,,,,,,,,
,,kxi²,,,,,,,
,,,,hxi²,,,,,
,yxi²,,,,,,,,
,,,txi²,,,,,,
,,,,,,,yxaun¹,,
,,,,,,,,son¹,
,,,,,lon¹,,,,
,,,,,,kon¹,,,
,,,,,,,,,non¹
,,,tan¹,,,,,,
,yan¹,,,,,,,,
,,kan¹,,,,,,,
lyxau³,,,,,,,,,
,yxau³,,,,,,,,
,,kxau³,,,,,,,
,,,txau³,,,,,,
,,,,hxau³,,,,,
,,,t3jah¹,,,,,,
,,,,,lot3jah¹,,,,
,,,,,,kot3jah¹,,,
,,,,,,,yxaut3jah¹,,
,,,,,,,,sot3jah¹,
,,,,,,,,,not3jah¹
,,,to²,,,,,,
,,,,ho²,,,,,
,yo²,,,,,,,,
,,ko²,,,,,,,
,,,,hxai²,,,,,
,,,txai²,,,,,,
,,kxai²,,,,,,,
,yxai²,,,,,,,,
,,kẽ¹,,,,,,,
,yẽ¹,,,,,,,,
,,,tẽ¹,,,,,,
,,,,hẽ¹,,,,,
,,,tã³,,,,,,
,,,,hã³,,,,,
,,kã³,,,,,,,
,yã³,,,,,,,,
,,,,hxã³,,,,,
,,kxã³,,,,,,,
,,,txã³,,,,,,
,yu,,,,,,,,
,,ku,,,,,,,
,,,tu,,,,,,
lya³,,,,,,,,,
,,,,ha³,,,,,
,,ka³,,,,,,,
,,,ta³,,,,,,
,ya³,,,,,,,,
,,,tra³,,,,,,
,,,,he¹,,,,,
,,,te¹,,,,,,
,ye¹,,,,,,,,
lye¹,,,,,,,,,
,,,,hai³,,,,,
,yai³,,,,,,,,
,,,tai³,,,,,,
,,kai³,,,,,,,
,,kxai³,,,,,,,
,,,txai³,,,,,,
,,,,hxai³,,,,,
,yha³,,,,,,,,
