bal,is,bar,ab,a,da,le,w,n,ha,en,h,d,c,cr
,,,,,,,,,,,,de,,
,,,,,,,,ne,,,,,,
,,,,,,,,,,ene,,,,
,,,,,,,,,,ena,,,,
,isa,,,,,,,,,,,,,
,isoa,,,,,,,,,,,,,
,,,,,,,,,hakoa,,,,,
,,,,,,,,,,,hakoa,,,
,,,,,,,,,,enakoa,,,,
,,,,aka,,,,,,,,,,
,,,,,,,,,haka,,,,,
,,,,,,,,naka,,,,,,
,,,,,,,,,,,haka,,,
,,,,,,,,,hao,,,,,
,,,,,,,,,,eno,,,,
,,,,,,,,,,,,,,cristo
,,,,,,,,,,,,,cristo,
,,,,,,,,ni,,,,,,
,,,,,,,,,,,hi,,,
,,,,,,,,,harenai,,,,,
,,,,,,,,,hare,,,,,
,,,,,,,,,,,hare,,,
,isare,,,,,,,,,,,,,
,,,,axare,,,,,,,,,,
,,,,,,,wexare,,,,,,,
,,,,,,,,nexare,,,,,,
,,,,,,,,,haexare,,,,,
,,,,,,,,,,enexare,,,,
,,,,,,,,,,,hexare,,,
,,,,,,,,,hatyo,,,,,
,,,,atyo,,,,,,,,,,
,,,,,davi,,,,,,,,,
,,,,,,levi,,,,,,,,
,,,,,,,,,,,,davi,,
,,,,,,,,,hahare,,,,,
,,,,,,,,,,,hahare,,,
,,,,,,leão,,,,,,,,
balaão,,,,,,,,,,,,,,
,,,abraão,,,,,,,,,,,
,,,,abraão,,,,,,,,,,
balaque,,,,,,,,,,,,,,
,isaque,,,,,,,,,,,,,
,,baraque,,,,,,,,,,,,
,,,,,,,,,haisani,,,,,
,,,,,,,,,,,haisani,,,
,isá,,,,,,,,,,,,,
,,,,,,,,,,,há,,,
,,,abá,,,,,,,,,,,
,,,,,,,,nanenai,,,,,,
,,,,,,,waha,,,,,,,
,isaha,,,,,,,,,,,,,
,isoaha,,,,,,,,,,,,,
,,,,,,,,,hatyoha,,,,,
,,,,,,,,,,enom,,,,
,,,,arão,,,,,,,,,,
,,,,,,,,nasom,,,,,,
,,,,amom,,,,,,,,,,
,,,,,,,,nityo,,,,,,
,,,,,,,wityo,,,,,,,
,,,,,,,,,,,hityo,,,
,,,,,,,,,hanityo,,,,,
,,,,,,,,,hate,,,,,
,,,,,,,,,haoka,,,,,
