ab,a,abr,bal,kihi,avikhananava
,ao,,,,
aba,,,,,
,aa,,,,
,,,,kihija,
,aja,,,,
,ai,,,,
,ari,,,,
,ada,,,,
,,,,kihikihida,
,,,,,avikhananavakihida
,ani,,,,
,,,,kihini,
,aani,,,,
abani,,,,,
,,,,kihiki,
,aki,,,,
,,,,,avikhananavaki
,avaki,,,,
,,,,,avikhananavana
,,,,kihina,
,ana,,,,
,avi,,,,
,,abraão,,,
,,,balaão,,
abraão,,,,,
,abraão,,,,
,,,balaque,,
,ara,,,,
,ama,,,,
,aia,,,,
,aiki,,,,
,aniki,,,,
,arão,,,,
,amom,,,,
,arabo,,,,
,aka,,,,
abini,,,,,
,ahoja,,,,
,avahoja,,,,
abias,,,,,
,abias,,,,
,asa,,,,
,acaz,,,,
,ania,,,,
,arini,,,,
,ahi,,,,
,athi,,,,
,agathi,,,,
,adani,,,,
abel,,,,,
,ahara,,,,
aboni,,,,,
,aoni,,,,
abinia,,,,,
,athinia,,,,
,ajaki,,,,
,abel,,,,
abiúde,,,,,
,abiúde,,,,
,aquim,,,,
,azor,,,,
,aria,,,,
,aho,,,,
,asia,,,,
,adi,,,,
abodi,,,,,
,anana,,,,
,avani,,,,
,aha,,,,
,aaha,,,,
,anaha,,,,
,avari,,,,
,abini,,,,
abiha,,,,,
,ahiha,,,,
,afo,,,,
abania,,,,,
,akhana,,,,
,ava,,,,
,anofiki,,,,
,avini,,,,
,ahavini,,,,
,aravini,,,,
,ahaki,,,,
,ariha,,,,
,aogaki,,,,
abinini,,,,,
,aanihi,,,,
,amanihi,,,,
,asohiki,,,,
,ahojai,,,,
,aivini,,,,
,ahivini,,,,
,aviaha,,,,
,arivini,,,,
,,,,,avikhananavakia
,akia,,,,
,,,,kihikia,
,aikia,,,,
abanini,,,,,
,akarai,,,,
,akava,,,,
,anivini,,,,
,aba,,,,
,ano,,,,
abono,,,,,
,abono,,,,
,adamia,,,,
,ajana,,,,
,adija,,,,
,aharia,,,,
,ariki,,,,
,,,,kihiriki,
,airiki,,,,
abosini,,,,,
,abosini,,,,
,anania,,,,
,anava,,,,
,ajora,,,,
abii,,,,,
,athii,,,,
,afora,,,,
,apa,,,,
,,,,,avikhananavapa
,aji,,,,
abinira,,,,,
,airi,,,,
,aaniki,,,,
,ananiki,,,,
,aniaja,,,,
,aaniaja,,,,
,ahojaki,,,,
,avigaja,,,,
,amani,,,,
,anoki,,,,
,aabono,,,,
,akani,,,,
,akhama,,,,
,akadika,,,,
,amini,,,,
,ako,,,,
,anako,,,,
,ahava,,,,
,avikha,,,,
,ahojana,,,,
,anokira,,,,
,amiki,,,,
,aniani,,,,
,ahaja,,,,
,avivini,,,,
,aniha,,,,
,amonina,,,,
abiniki,,,,,
,afiniki,,,,
,aakava,,,,
,avakava,,,,
,aboni,,,,
,avaka,,,,
,ahani,,,,
,anara,,,,
,anajiri,,,,
,afojora,,,,
,avava,,,,
,ahiva,,,,
,amania,,,,
,,,,kihirihi,
,arihi,,,,
,athini,,,,
abinina,,,,,
,abinina,,,,
abosi,,,,,
,ajakosi,,,,
,avarani,,,,
,avanana,,,,
,ajoi,,,,
,aajoi,,,,
,avanava,,,,
,ahia,,,,
,amanira,,,,
,akhano,,,,
,aajo,,,,
,akajo,,,,
,aga,,,,
,abani,,,,
,avajoi,,,,
,aviga,,,,
,anani,,,,
,amanani,,,,
,araboa,,,,
abea,,,,,
,ahojaha,,,,
,arinia,,,,
,ahahavi,,,,
,ahaha,,,,
,akhani,,,,
,aakhani,,,,
,ajoina,,,,
,asohi,,,,
,aakhano,,,,
,aoniki,,,,
,amasia,,,,
,amasi,,,,
abakhia,,,,,
,abakhia,,,,
abinika,,,,,
,asafi,,,,
,aasafi,,,,
,adão,,,,
,aipohi,,,,
,ahanana,,,,
,akadija,,,,
,avakahi,,,,
abononi,,,,,
,abononi,,,,
,avihini,,,,
,avihiki,,,,
,avihihi,,,,
,akahiki,,,,
,aakhaki,,,,
,aroniki,,,,
,avigara,,,,
,anai,,,,
,asohika,,,,
,amaki,,,,
,aihaki,,,,
,arihaki,,,,
,asafini,,,,
,avihi,,,,
,athia,,,,
,ajihi,,,,
abinija,,,,,
,akana,,,,
,ajahaki,,,,
,anokiha,,,,
,avahaki,,,,
,aririhi,,,,
,avai,,,,
,ami,,,,
,ajaja,,,,
,aogaja,,,,
,,,,kihimanija,
,amanija,,,,
,athana,,,,
,ajanaki,,,,
,araba,,,,
,andré,,,,
,akaboa,,,,
,akahagi,,,,
,afa,,,,
,anaja,,,,
,amina,,,,
,avinia,,,,
,adiki,,,,
,ajoroni,,,,
,anofi,,,,
abinihi,,,,,
,adivini,,,,
,anofipa,,,,
,ahojaia,,,,
,anofija,,,,
,ahariki,,,,
,arihari,,,,
,amana,,,,
,aimana,,,,
,aharihi,,,,
,anokiki,,,,
,asohihi,,,,
,,,,,avikhananavakihari
,ahoki,,,,
,aviki,,,,
,ahojani,,,,
,ahokiki,,,,
,akanava,,,,
abaninia,,,,,
,ajoraki,,,,
abonoa,,,,,
,abonoa,,,,
,aakha,,,,
,arakha,,,,
,arara,,,,
,asivini,,,,
,ahoni,,,,
,akahihi,,,,
,anofihi,,,,
,ahahi,,,,
,akara,,,,
,aakara,,,,
,anakara,,,,
,akarani,,,,
,afani,,,,
,amonaha,,,,
,abosi,,,,
,aabosi,,,,
,abanini,,,,
