f,b,bal,at,is,bar,i,d,abr,a,ab,cr,ins,n,v,desce,c,j,je,pa,antepa,pu,pru,descen
,,,,,,ia,,,,,,,,,,,,,,,,,
,,,,,,,da,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,na,,,,,,,,,,
,,,,,,,,abra,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,vista,,,,,,,,,
,,,,,,,,,,,,insista,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,pus,,
,,,,,,,,,as,,,,,,,,,,,,,,
,,,,,,,,,,,,,nos,,,,,,,,,,
,,,,,,,dos,,,,,,,,,,,,,,,,
,,,,,,,,,aos,,,,,,,,,,,,,,
,,,atos,,,,,,,,,,,,,,,,,,,,
,,,,,,,dados,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,passados,,,,
,,,,,,,,,,,,,,,,,,,,antepassados,,,
,,,,,,,de,,,,,,,,,,,,,,,,
,,,,,,,,abre,,,,,,,,,,,,,,,
,,,,,,,,,,,,,nus,,,,,,,,,,
,,,,,,,,,,,,,,,,,,jesus,,,,,
,,,,,,,,,,,,,,,,,jesus,,,,,,
,,,,,,,,,ao,,,,,,,,,,,,,,
,,,,,,,,,,,,,no,,,,,,,,,,
,,,ato,,,,,,,,,,,,,,,,,,,,
,,,,,,,do,,,,,,,,,,,,,,,,
,,,,,,,,,ato,,,,,,,,,,,,,,
,,,,isto,,,,,,,,,,,,,,,,,,,
,,,,,,isto,,,,,,,,,,,,,,,,,
,,,,,,,,,,,cristo,,,,,,,,,,,,
,,,,,,,,,,,,insisto,,,,,,,,,,,
,,,,,,,,,,,,,nisto,,,,,,,,,,
,,,,,,,,,,,,,,visto,,,,,,,,,
,,,,,,,disto,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,cristo,,,,,,,
,,,,,,,dente,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,pudente,,
,,,,,,,,,,,,,,,,,,,,,,prudente,
,,,,,,,,,,,,,,,,,,,,,,,descendente
,,,,,,,,,,,,,,,descendente,,,,,,,,
,,,,,,,,,,,,,,,,,,,pai,,,,
,,,,,,,,,,,cri,,,,,,,,,,,,
