sufix,count
ẽ,11677
e,372408
se,136090
ase,56302
u,57787
zu,15846
ezu,15834
tu,9114
xtu,6273
ixtu,6245
rixtu,6245
yrixtu,6245
y,86278
ry,75767
yry,40844
pyry,34261
õpyry,9325
põpyry,9300
opõpyry,9300
o,328590
ko,93773
oko,37107
i,7080
wi,477
awi,383
me,111264
yme,17422
ryme,16325
aryme,2039
ne,48304
ine,33719
xine,10240
exine,10125
nexine,10113
ynexine,10104
ão,2299
rão,948
arão,900
parão,900
a,176977
pa,30759
opa,29078
ropa,20767
oropa,20448
ke,38681
ake,1581
zake,90
ro,66448
yro,5421
kyro,4917
okyro,4906
ako,1788
my,1452
umy,594
ta,2426
uta,335
õ,73208
rõ,1204
orõ,1025
korõ,707
aro,24198
kõ,45681
ẽkõ,2734
ra,77132
ara,35942
mara,2647
amara,95
ze,2038
eze,1793
reze,18
ereze,18
erõ,26
zerõ,20
pe,7291
ape,848
tape,18
atape,18
natape,18
inatape,18
sõ,24
asõ,24
mõ,76
amõ,16
ramõ,6
aramõ,6
aze,20
oaze,20
ny,891
aape,15
te,604
ete,51
pete,31
ti,556
uti,36
ese,1849
mão,518
omão,98
romão,98
aromão,98
ia,1927
ria,788
ỹpyry,650
tỹpyry,206
ytỹpyry,102
oão,130
poão,6
opoão,6
pia,57
za,210
apa,1347
sapa,12
osapa,6
orão,10
zia,48
tão,227
otão,5
zi,10
azi,10
kazi,10
kia,174
ekia,6
zekia,6
nase,3624
anase,3307
sia,5
osia,5
eu,4792
ieu,118
tieu,24
atieu,24
ratieu,24
aratieu,24
peu,155
apeu,106
papeu,27
opapeu,27
ropapeu,27
iuti,12
piuti,6
ĩ,1646
kĩ,24
akĩ,18
iakĩ,18
riakĩ,18
oro,27449
zoro,5
oke,1239
toke,148
atoke,22
riuti,6
aza,22
eaza,6
reaza,6
ã,16309
tã,105
atã,33
oze,222
aria,562
io,341
mo,23273
omo,18573
komo,9030
ẽkomo,407
sẽkomo,392
esẽkomo,302
rara,8308
orara,8076
yke,22977
ryke,21072
iryke,13889
xiryke,13825
uase,603
kuase,325
ũkuase,120
mũkuase,120
ru,19567
uru,17369
kuru,5235
ũkuru,3179
mũkuru,1805
akõ,130
pakõ,55
oe,2699
ose,39548
tose,25179
htose,580
ahtose,119
nahtose,119
to,28296
oto,22495
4me,32
na,31459
ona,12686
aeu,636
raeu,534
yraeu,534
zyraeu,534
nia,451
onia,214
ronia,44
ironia,36
pironia,36
raro,2072
araro,2063
rararo,2056
orararo,2056
no,16844
ino,4318
oino,2809
toino,1123
otoino,1050
rotoino,1050
po,51255
õpo,44044
nõpo,43947
onõpo,43735
tonõpo,43671
itonõpo,43541
hpyry,19507
ahpyry,2844
kahpyry,1641
ame,22064
nara,13387
kase,30347
ekase,1930
nekase,1006
enekase,1006
tyme,1031
ytyme,153
pytyme,93
ypytyme,56
epe,3452
ome,11175
rome,9301
maro,3489
imaro,168
ximaro,168
yra,40718
pyra,28428
opyra,8855
topyra,1810
itopyra,871
ao,37178
tao,34923
htao,34528
ahtao,10019
ẽme,1659
oẽme,128
toẽme,128
etoẽme,128
oetoẽme,128
hse,22026
ehse,10981
oehse,7897
hpo,2407
ohpo,1981
nu,3038
enu,2928
zenu,2328
uzenu,2328
ae,7820
ty,5987
ety,4145
kety,2907
ikety,2007
xikety,1995
eryke,1504
neryke,1504
ya,18550
yya,4248
iome,21
niome,12
roro,19050
ororo,11483
nororo,11235
rao,251
arao,251
ory,14583
rory,1729
irory,132
xirory,132
uhse,4156
puhse,1891
upuhse,1863
tupuhse,1863
ary,9977
kary,2108
ekary,619
mekary,586
umekary,586
re,7594
are,550
kare,198
okare,192
kẽ,8590
okẽ,8506
yhtao,9573
ryhtao,9573
aryhtao,3983
hkase,2816
ehkase,918
nehkase,24
ykase,22062
yhpyry,2910
kyhpyry,1979
nety,288
enety,140
senety,140
osenety,88
imo,1953
tako,219
hne,3329
ahne,938
tyke,1250
ẽtyke,1120
rẽtyke,1120
orẽtyke,1120
iko,3002
xiko,1417
iry,9714
xiry,3249
oiko,12
poiko,12
ũko,1198
rũko,1172
urũko,1172
nurũko,105
ana,14833
uame,64
tuame,64
utuame,64
rutuame,64
ume,3919
zume,50
ezume,50
ãko,10536
pãko,1447
hpãko,80
ehpãko,25
sehpãko,25
tory,10026
etory,8734
oetory,8734
poetory,5311
kãko,2913
ãkãko,523
rãkãko,413
urãkãko,413
ypyry,1800
okãko,450
rokãko,282
orokãko,282
ero,7670
mero,5143
yae,2565
ryae,2542
yryae,2064
pyryae,1848
hpyryae,952
ono,2839
tono,172
utono,56
rutono,56
sety,931
eume,236
ueume,9
nueume,9
anueume,9
ĩko,6122
xĩko,4595
ueu,37
nueu,13
anueu,13
manueu,7
ymaro,480
reu,81
ereu,59
pereu,54
iryae,445
miryae,445
s,734
es,732
ies,732
ries,732
eries,732
rame,10926
arame,10765
rarame,10707
orarame,10657
akase,658
pakase,63
ypakase,32
pona,8321
ipona,8180
mipona,8180
ise,3080
oise,914
poise,827
apoise,761
yty,413
pyty,240
ypyty,120
poro,826
ruru,772
ururu,772
nururu,46
enururu,32
ãmero,400
nãmero,400
onãmero,400
use,2796
ruse,2705
uruse,2705
nuruse,296
onuruse,296
pase,2079
hpase,170
ehpase,144
sehpase,144
nese,1631
yã,3985
tyã,3848
htyã,1742
ehtyã,202
xi,2458
ixi,435
h,14568
oh,13181
toh,10566
atoh,3369
tatoh,547
ũtatoh,77
mame,747
omame,348
nomame,137
inomame,8
rẽ,1185
erẽ,60
ea,807
tea,171
utea,171
aõ,391
naõ,30
ãnaõ,30
ata,1583
ote,478
rote,360
saryme,666
isaryme,450
kẽme,16
okẽme,6
ua,1059
tua,1056
utua,1056
rutua,1056
ytose,4525
oytose,4525
arẽ,1082
sarẽ,1049
usarẽ,1049
rusarẽ,1049
erusarẽ,1049
ykõ,18989
rykõ,18144
arykõ,2397
sarykõ,263
ato,2346
uato,390
kuato,342
ikuato,342
rikuato,342
tõ,6374
etõ,5818
ketõ,5818
aketõ,483
paketõ,87
epaketõ,65
õkomo,4406
põkomo,2704
ẽpõkomo,378
toko,17591
nã,1250
enã,666
senã,666
usenã,90
rusenã,90
urusenã,90
teu,2522
uteu,2035
uhpyry,1602
ruhpyry,1238
ryry,333
yryry,321
kyryry,201
ease,499
nease,499
enease,121
nenease,100
nuhse,195
õnuhse,182
mase,6106
hmase,3600
ahmase,760
kahmase,215
hno,3823
ehno,1788
oehno,153
noehno,27
anoehno,27
iaro,294
ure,6267
hme,25089
ohme,19943
tohme,19610
itohme,923
ritohme,184
karo,3845
okaro,3710
õkõ,8033
põkõ,4841
hpõkõ,654
ahpõkõ,325
mahpõkõ,156
miry,5249
aryke,2527
taryke,1592
isarykõ,87
ỹ,2072
pỹ,2061
epỹ,1761
mepỹ,1754
sa,1019
isa,797
uisa,575
exiryke,3717
ãme,3870
kãme,368
akãme,368
yakãme,323
myakãme,50
ẽpõkõ,288
rẽpõkõ,288
arẽpõkõ,288
uketõ,1170
ruketõ,1170
uruketõ,1170
ohmase,611
kohmase,528
ãkomo,1917
mãkomo,1468
imãkomo,104
oeze,1759
ihpyry,4245
mihpyry,2006
nõ,14161
hnõ,9680
ehnõ,9495
mehnõ,9487
anõ,2882
nanõ,2448
ananõ,1181
pananõ,288
epananõ,253
õme,17968
kõme,14459
ẽkõme,1521
sẽkõme,1521
esẽkõme,1091
pose,7476
upose,1482
rupose,1482
urupose,1482
rose,5522
erose,2400
merose,2400
ymerose,2400
same,1188
isame,1120
uisame,1120
kopyra,830
õko,21085
rõko,3082
arõko,2452
karõko,2422
ekarõko,581
atose,19372
tiko,1038
itiko,1030
esarykõ,123
sẽme,1511
utõ,135
rutõ,135
ohpyry,7602
rohpyry,4472
utohme,706
rutohme,699
tara,1760
ohse,3742
tohse,111
atohse,111
oatohse,34
uaro,2864
opose,1194
ropose,1148
aropose,904
otoko,1399
totoko,484
atoko,4464
tatoko,2046
itatoko,145
onese,1218
tatose,6420
atatose,166
wy,1096
ytory,563
rise,1878
yrise,1800
hpe,2298
ohpe,2216
